Symbol,Description,Technical rating 1 day,Moving averages rating 1 day,Oscillators rating 1 day,Relative strength index (14) 1 day,Momentum (10) 1 day,Awesome oscillator 1 day,Commodity channel index (20) 1 day,"Stochastic (14,3,3) 1 day, %K","Stochastic (14,3,3) 1 day, %D",Candlestick pattern 1 day
BHG,BHP Group Ltd,Buy,Strong buy,Neutral,61.25737138761337,4528,6930.979411764871,86.01828837951528,79.84889058913542,88.7676566929894,Marubozu Black
ANH,Anheuser-Busch InBev SA/NV,Strong buy,Strong buy,Neutral,66.09597953898017,7997,8224.158823529418,97.44114371072193,87.66493363081906,83.52935651089278,
BTI,British American Tobacco p.l.c.,Buy,Strong buy,Sell,72.97204541807821,11367,6977.8588235294155,214.60839081533308,92.2432315018958,91.99422016660348,
CFR,Compagnie Financiere Richemont SA,Buy,Strong buy,Neutral,55.610930800206056,11885,12490.720588235417,63.640329929279154,78.46194042849679,74.14213551646056,Bearish Harami
GLN,Glencore plc,Buy,Strong buy,Neutral,54.05562435878218,-120,381.77058823529296,66.34345882887742,80.84613558623705,87.45102025509603,
PRX,Prosus N.V. Class N,Sell,Strong sell,Neutral,41.397360185953076,-3765,-3495.3147058823233,-133.52810217138313,37.54290332609849,30.749796832064664,
AGL,Anglo American plc,Buy,Buy,Neutral,53.739177960118326,2844,8715.338235294112,32.889887673318476,75.14338411784028,85.58125064796047,
ANG,Anglogold Ashanti PLC,Sell,Strong sell,Neutral,44.1981555365323,3616,3987.2647058824077,-38.40763657517626,43.65096912079003,54.56239537601465,
NPN,Naspers Limited Class N,Sell,Strong sell,Neutral,43.51444172346577,-3284,-3413.108823529634,-124.47399649123314,38.26662447924906,34.18786258834052,
GFI,Gold Fields Limited,Strong sell,Strong sell,Sell,38.53503772020881,-2575,-2795.0823529411573,-124.99169221035069,27.282890265168444,36.969490326578956,
CPI,Capitec Bank Holdings Limited,Sell,Sell,Neutral,47.06652269018173,-3128,-1261.2823529415764,-89.47387204762724,22.64789957742978,23.232103457129416,
FSR,FirstRand Limited,Sell,Strong sell,Sell,46.39400152868222,-39,2.723529411741765,-57.42879690077505,28.205128205128215,26.811594202898558,
SBK,Standard Bank Group Limited,Sell,Sell,Sell,43.31011556313998,-1784,-941.685294117513,-94.24219943784304,31.854817850668468,26.710610197215924,
VAL,Valterra Platinum Limited,Sell,Strong sell,Neutral,43.488730807296236,3529,1731.6764705885435,-65.30962503321115,65.7335715703792,73.12595918449368,
MTN,MTN Group Limited,Buy,Buy,Sell,52.05318410407532,-93,761.4617647058003,11.628268507288494,49.450375749286515,61.433986285125705,
VOD,Vodacom Group Limited,Buy,Strong buy,Neutral,57.15422119247713,1221,725.7352941176468,121.58137015976875,76.47010728771734,83.48736986053548,Bearish Engulfing
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,Sell,Strong sell,Neutral,45.227662715283536,-12,-345.6352941176465,-25.462671534696725,43.73119358074223,37.78000668672685,Doji
INL,Investec Limited,Strong sell,Strong sell,Neutral,36.89188701251114,-878,-244.12941176473396,-153.35142196764448,12.212791796403733,12.022256750317482,Inverted Hammer
S32,South32 Ltd.,Sell,Sell,Neutral,43.08100818453911,-57,38.832352941176396,-73.53363843381823,64.35110393107162,78.91522227548074,
IMP,Impala Platinum Holdings Limited,Sell,Strong sell,Neutral,45.24584144895151,1111,1553.064705882287,-33.506864564647536,67.16972518400925,77.1672731829554,
ABG,Absa Group Limited,Sell,Strong sell,Neutral,43.55109014440995,-236,-911.3588235294119,-39.14940557779344,51.5874109687845,36.79079286436805,
HAR,Harmony Gold Mining Co. Ltd.,Sell,Strong sell,Neutral,45.73057442819476,788,1428.5352941176934,-41.797448544472935,56.58853132035492,68.35643184732176,
DSY,Discovery Limited,Buy,Strong buy,Neutral,57.34538121850758,774,1007.3147058823561,18.640331436204857,42.190842961061186,47.69172253126038,
SLM,Sanlam Limited,Strong sell,Strong sell,Neutral,41.801302221345246,-8,-167.11470588236443,-63.32964214126693,30.26998961578401,33.93302568735283,
SHP,Shoprite Holdings Limited,Strong buy,Strong buy,Buy,67.259934980374,1409,659.5970588231175,193.31629153937683,80.08955737367761,72.76554881642389,
SSW,Sibanye Stillwater Limited,Sell,Strong sell,Neutral,44.556752318514526,162,200.64705882353792,-43.56988567515036,60.8829568788501,71.37805156285647,
NPH,Northam Platinum Holdings Limited,Sell,Strong sell,Neutral,45.933668659219975,1885,741.8970588235752,-27.91081985419932,73.13518295173968,75.83290887074752,
BID,Bid Corporation Limited,Buy,Strong buy,Neutral,53.56098101000761,587,-142.96176470588398,54.08106195775851,47.71620861664974,32.126989113812215,"Long Upper Shadow, Shooting Star"
SOLBE1,BEE - Sasol Limited,Buy,Strong buy,Neutral,70.73459662309682,1201,1977.6911764705264,141.27815138419868,100,100,
SOL,Sasol Limited,Strong buy,Strong buy,Neutral,56.179889359399375,-525,402.5352941175079,53.885078940701725,46.39562413258225,44.685500624430716,
NED,Nedbank Group,Sell,Strong sell,Neutral,37.66562833622831,-1153,-984.7558823527906,-141.70818703918937,18.74020236568335,16.265507688208327,
INP,Investec plc,Sell,Strong sell,Neutral,38.050690402743584,-942,-214.40588235293944,-150.31459955209533,12.028454852299392,14.028924607509316,
INPPR,Investec PLC Pref. (Rand),Neutral,Neutral,Sell,47.47214169663003,-211,-26.647058823529733,-55.43607163675154,39.058377519915965,30.20910713218404,
OUT,OUTsurance Group Limited,Sell,Strong sell,Neutral,42.83426989679672,-98,-140.07058823530133,-101.61709517607237,18.83295665794081,15.210201672270543,"Inverted Hammer, Long Upper Shadow"
REM,Remgro Limited,Sell,Strong sell,Neutral,40.531555694544416,-867,-662.7088235295887,-125.69064898605014,19.640062597809074,16.41691356328231,
RNI,Reinet Investments S.C.A.,Buy,Strong buy,Sell,54.6742592284666,-518,660.0705882352922,83.12913886480284,53.52716429037369,48.09430621563693,
KIO,Kumba Iron Ore Limited,Strong sell,Strong sell,Neutral,43.0461905081412,98,631.7470588238502,-4.1090815192385275,63.22294654498044,75.62126611618136,
NRP,NEPI Rockcastle N.V,Neutral,Buy,Sell,51.03088811811513,32,67.4000000000051,-51.911353234371155,29.793906810035846,26.883280973290052,
N91,Ninety One Plc,Sell,Strong sell,Neutral,45.87213443682367,-11,-51.91470588235279,26.20087336242799,37.01149425287357,37.394636015325716,
NY1,Ninety One Ltd.,Strong sell,Strong sell,Neutral,42.43151451457314,-60,-128.70294117647063,-76.94057694057717,20.245398773006134,19.97027606293526,
PPH,Pepkor Holdings Ltd.,Sell,Strong sell,Sell,40.324274683812234,-24,-84.17647058823513,-93.28940142778562,15.525114155251146,12.390280833747363,
