Symbol,Description,Pre-market price,Pre-market price - Currency,Pre-market change %,Pre-market gap %,Pre-market volume,Price,Price - Currency,Price change % 1 day,Gap % 1 day,Volume 1 day,Volume change % 1 day,Post-market price,Post-market price - Currency,Post-market change %,Post-market volume
BHG,BHP Group Ltd,,,,,,70265,ZAC,-3.838784726974134,-0.9169289722184207,443688,123.95590417638329,,,,
ANH,Anheuser-Busch InBev SA/NV,,,,,,133707,ZAC,-0.12026772641706757,0.3481041025487794,97942,-64.2595707878863,,,,
BTI,British American Tobacco p.l.c.,,,,,,108984,ZAC,-0.16671857538061302,1.1926790392613085,126451,-68.57407711157171,,,,
CFR,Compagnie Financiere Richemont SA,,,,,,328443,ZAC,-2.0023630927871965,-1.2251084576045639,33189,-58.120078740157474,,,,
GLN,Glencore plc,,,,,,12732,ZAC,-3.4210725934916177,-2.07084882045058,813327,-11.050948517783752,,,,
PRX,Prosus N.V. Class N,,,,,,76373,ZAC,1.5018008319710805,-0.3056762755339367,651160,-29.844823852501317,,,,
AGL,Anglo American plc,,,,,,84065,ZAC,-6.3154727410511295,-2.8997459100432397,582616,2.7599441238306217,,,,
ANG,Anglogold Ashanti PLC,,,,,,158759,ZAC,-4.943837716146956,-1.8668870048378596,308263,-35.618930264614356,,,,
NPN,Naspers Limited Class N,,,,,,86489,ZAC,1.275175644028103,0,786474,-32.99841371801666,,,,
GFI,Gold Fields Limited,,,,,,68612,ZAC,-5.830359593741422,-2.701070546253088,874938,-3.273992789808889,,,,
CPI,Capitec Bank Holdings Limited,,,,,,429384,ZAC,-0.9305126471735073,-1.1584686341329482,54962,-61.366463993252026,,,,
FSR,FirstRand Limited,,,,,,8784,ZAC,-1.8547486033519553,-1.318435754189944,3401340,-27.689035683732698,,,,
SBK,Standard Bank Group Limited,,,,,,30265,ZAC,-1.8039648291749133,-0.7819343953797735,799255,-51.985450045355975,,,,
VAL,Valterra Platinum Limited,,,,,,136965,ZAC,-6.549357277366884,-3.642777216779018,353612,-37.22314143487122,,,,
MTN,MTN Group Limited,,,,,,20794,ZAC,-1.1410097936673957,-0.18065988399733765,1286171,-46.74967809781686,,,,
VOD,Vodacom Group Limited,,,,,,15352,ZAC,-1.7534877767822858,1.7534877767822858,707219,-70.65203679020256,,,,
INL,Investec Limited,,,,,,12987,ZAC,-1.5166451808599377,-2.1763858345340106,103444,-90.81028738950828,,,,
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,,,,,,9397,ZAC,-0.7918074324324325,-0.7601351351351352,3006,-83.15116865646544,,,,
S32,South32 Ltd.,,,,,,4926,ZAC,-6.385404789053592,-3.0786773090079818,1785572,97.58722036809164,,,,
IMP,Impala Platinum Holdings Limited,,,,,,24337,ZAC,-6.822619548987327,-3.097362073586278,719971,-57.10728198749031,,,,
ABG,Absa Group Limited,,,,,,23066,ZAC,-1.3303674551909996,-0.7571544680669033,1609987,-35.76678126337787,,,,
HAR,Harmony Gold Mining Co. Ltd.,,,,,,27130,ZAC,-5.033604032483898,-2.2227667320078406,911260,-51.92356392183345,,,,
DSY,Discovery Limited,,,,,,26618,ZAC,0.15426872859991722,-0.4628061857997517,388947,-69.8408636768609,,,,
SLM,Sanlam Limited,,,,,,8549,ZAC,-1.6225546605293442,-0.46029919447640966,1168509,-53.75382660885775,,,,
SHP,Shoprite Holdings Limited,,,,,,29457,ZAC,0.7938408896492728,-0.3045337895637297,418741,-73.0672827504057,,,,
SSW,Sibanye Stillwater Limited,,,,,,5132,ZAC,-5.173688100517369,-2.0694752402069474,3476084,-60.405196772076366,,,,
NPH,Northam Platinum Holdings Limited,,,,,,33915,ZAC,-6.343201148790456,-2.499171545344085,1026474,-50.28859015548709,,,,
BID,Bid Corporation Limited,,,,,,41328,ZAC,-0.5079563783432437,-0.7390644936084162,441933,-34.436947562375934,,,,
SOLBE1,BEE - Sasol Limited,,,,,,10000,ZAC,0,0,13,-27.77777777777778,,,,
SOL,Sasol Limited,,,,,,22435,ZAC,3.755260602136614,0.818572815982981,986058,-46.10936313867715,,,,
NED,Nedbank Group,,,,,,25530,ZAC,-1.3295199814485583,-0.6724897580582825,298329,-86.25184105115495,,,,
INP,Investec plc,,,,,,13240,ZAC,-1.83139319344554,-0.963891154445021,513497,-54.46425800249893,,,,
INPPR,Investec PLC Pref. (Rand),,,,,,8700,ZAC,0,0,3404,209.45454545454547,,,,
OUT,OUTsurance Group Limited,,,,,,6980,ZAC,-1.1191386881994618,-1.54412806346508,403461,-75.34681252661855,,,,
REM,Remgro Limited,,,,,,18600,ZAC,-1.1269402509036786,-0.318945354029343,501675,-54.93818400005749,,,,
RNI,Reinet Investments S.C.A.,,,,,,56981,ZAC,-0.5341526000663327,-0.3264265889294255,122647,-44.55279480641603,,,,
KIO,Kumba Iron Ore Limited,,,,,,31346,ZAC,-4.13480946846902,0.6116582053948254,155393,-39.24811265799526,,,,
NRP,NEPI Rockcastle N.V,,,,,,14132,ZAC,0.2198425643571378,0.8439117793064322,395584,-60.17469077759142,,,,
N91,Ninety One Plc,,,,,,4816,ZAC,-1.593788312219044,1.3485901103391909,97941,-63.32772933040278,,,,
NY1,Ninety One Ltd.,,,,,,4616,ZAC,-1.3253527148353996,0.470286447199658,46603,-72.93355790451854,,,,
PPH,Pepkor Holdings Ltd.,,,,,,2173,ZAC,-1.4959202175883952,-0.3173164097914778,4911474,16.03308620112067,,,,
BVT,Bidvest Group Limited,,,,,,23201,ZAC,-0.35646796083147225,-0.017179178835251677,256041,-17.051322754750966,,,,
MNP,Mondi plc,,,,,,16704,ZAC,-1.9948368927481812,-0.2229523586012673,384918,-48.56072997851118,,,,
PAN,Pan African Resources PLC,,,,,,3084,ZAC,-6.743271847596008,-2.509827638342909,2902558,-6.812129944797925,,,,
APN,Aspen Pharmacare Holdings Limited,,,,,,13989,ZAC,-0.7309111552653987,0.6954300312233892,1214046,58.75921428935713,,,,
OMU,Old Mutual Ltd.,,,,,,1282,ZAC,-0.23346303501945526,-0.7003891050583658,4191178,-69.58170561363889,,,,
CLS,Clicks Group Limited,,,,,,24672,ZAC,-0.03241491085899514,-0.12155591572123178,400840,-54.46200547128485,,,,
GRT,Growthpoint Properties Limited,,,,,,1646,ZAC,-0.6038647342995169,-0.36231884057971014,2150454,-50.68450364112319,,,,
SHC,Shaftesbury Capital PLC,,,,,,2834,ZAC,-0.9090909090909091,-0.8741258741258742,160773,104.3819839060295,,,,
QLT,Quilter Plc,,,,,,3987,ZAC,-1.066997518610422,-1.240694789081886,659214,29.308102573357054,,,,
PHP,Primary Health Properties PLC,,,,,,2035,ZAC,-2.3512476007677545,-1.5355086372360844,53036,512.5664125664126,,,,
EXX,Exxaro Resources Limited,,,,,,21007,ZAC,-0.9103773584905661,2.25,260343,-64.52077569876941,,,,
MTM,Momentum Group Limited,,,,,,3651,ZAC,-1.8020441097364175,1.6675632060247445,228292,-74.36761695816149,,,,
WHL,Woolworths Holdings Limited,,,,,,5043,ZAC,0.11911852293031568,0.09926543577526306,733048,-81.00829258890025,,,,
SNT,Santam Limited,,,,,,38394,ZAC,-1.5689893862482696,-0.3999384710044608,17353,-83.65176266651592,,,,
RDF,Redefine Properties Limited,,,,,,619,ZAC,-1.4331210191082804,-0.47770700636942676,4152233,-19.279289262142907,,,,
TBS,Tiger Brands Limited,,,,,,28458,ZAC,-0.45125406653373906,1.8819743239934235,57981,-88.62115862789004,,,,
DRD,DRDGOLD Ltd.,,,,,,4527,ZAC,-4.413006756756756,-2.090371621621622,164271,-91.41257498333704,,,,
ARI,African Rainbow Minerals Limited,,,,,,20682,ZAC,-7.541687156332425,1.9938307479100539,237043,-39.27050721704421,,,,
BOX,Boxer Retail Limited,,,,,,8643,ZAC,-1.2228571428571429,-0.5714285714285714,252450,-9.024404307151197,,,,
MRP,Mr Price Group Limited,,,,,,15182,ZAC,-0.03292289458089155,-1.2839928886547705,370734,-24.466403162055336,,,,
HMN,Hammerson plc,,,,,,7040,ZAC,-1.7857142857142856,-1.4090401785714286,161122,435.44913761589845,,,,
SRE,Sirius Real Estate Limited,,,,,,2163,ZAC,-2.479711451758341,-1.8935978358881875,476792,54.85941270660989,,,,
KST,PSG Financial Services Limited,,,,,,2674,ZAC,-0.4467609828741623,-0.4095309009679821,379986,-43.635217420326185,,,,
VKE,Vukile Property Fund Limited,,,,,,2338,ZAC,-1.888375996642887,2.39194292908099,938740,16.167609836020944,,,,
DCP,Dis-Chem Pharmacies Limited,,,,,,3709,ZAC,0.37889039242219213,0.027063599458728015,1303336,192.8654087711138,,,,
AVI,AVI Limited Class Y,,,,,,9442,ZAC,-0.08465608465608467,0.5291005291005291,255948,-78.0968640488813,,,,
PMR,Premier Group Limited,,,,,,17775,ZAC,-0.6983240223463687,0,33938,-79.45890328047453,,,,
TKG,Telkom SA SOC Ltd.,,,,,,5700,ZAC,-3.225806451612903,-1.0865874363327674,234080,29.419635205590787,,,,
FFB,Fortress Real Estate Investments Limited Class B,,,,,,2522,ZAC,-0.03963535473642489,-0.15854141894569956,1486853,-36.854928647933335,,,,
RES,Resilient REIT Limited,,,,,,8306,ZAC,-0.8475587919302853,-1.6593052405395727,176349,-74.47347165649074,,,,
ADH,ADvTECH Limited,,,,,,4346,ZAC,-1.696448767247229,-0.7011988237955213,167597,-47.74856508631306,,,,
PIK,Pick N Pay Stores Limited,,,,,,2234,ZAC,0.6306306306306306,1.2162162162162162,3020609,-56.918923498299634,,,,
KRO,Karooooo Ltd.,,,,,,75003,ZAC,4.097097888995295,3.79037070963623,1230,-62.38532110091744,,,,
HYP,Hyprop Investments Limited,,,,,,5577,ZAC,-0.8533333333333334,-1.1911111111111112,495640,-40.616384769020456,,,,
SRI,Supermarket Income REIT Plc,,,,,,1780,ZAC,-1.7117614577581448,-0.6073992269464384,12138,2.0085721489200776,,,,
APH,Alphamin Resources Corp.,,,,,,1706,ZAC,-3.0681818181818183,-0.5681818181818182,2262,-74.92795389048992,,,,
OPA,Channel VAS Investments Limited,,,,,,1696,ZAC,-1.6811594202898552,0.2898550724637681,1564977,1.6422775738768363,,,,
NTC,Netcare Limited,,,,,,1648,ZAC,-1.7292784734645201,-0.5366726296958855,586635,-65.0796910576365,,,,
TFG,Foschini Group Limited,,,,,,5892,ZAC,-1.8163639393434425,0.9498416930511582,1728624,12.966824706493574,,,,
TRU,Truworths International Limited,,,,,,5030,ZAC,-2.0066238067406976,-0.5649717514124294,629814,-58.85819326290127,,,,
TGA,Thungela Resources Limited,,,,,,13012,ZAC,-0.09213759213759214,1.167076167076167,119745,-69.11918301032843,,,,
BYI,Bytes Technology Group Plc,,,,,,7671,ZAC,0.4189029977745778,0.34035868569184446,834954,365.8041841004184,,,,
DTC,Datatec Limited,,,,,,7533,ZAC,-0.9206892016309352,0.9733000131527029,178260,-50.10607985938121,,,,
CML,Coronation Fund Managers Limited,,,,,,4474,ZAC,-1.3450937155457552,0.33076074972436603,121741,-38.056641022509865,,,,
MTH,Motus Holdings Limited,,,,,,10092,ZAC,-2.0194174757281553,-0.7281553398058253,1093872,-11.929406460339441,,,,
GCT,Greencoat Renewables Plc,,,,,,1535,ZAC,5.065023956194388,5.065023956194388,420,-35.08500772797527,,,,
LHC,Life Healthcare Group Holdings Limited,,,,,,1116,ZAC,0.08968609865470852,-0.08968609865470852,1511689,-48.99290882563728,,,,
GND,Grindrod Limited,,,,,,2341,ZAC,-1.9271051529116048,0,181210,-83.43371291075177,,,,
GNDP,Grindrod Ltd Cum.Non-Red.Non-Ptg.Non-Cnv.Pref.Shs,,,,,,10150,ZAC,0,0,895,198.33333333333334,,,,
LTE,Lighthouse Properties Plc,,,,,,747,ZAC,-0.4,0,450906,-1.1808176307380769,,,,
OMN,Omnia Holdings Limited,,,,,,9665,ZAC,-0.9733606557377049,-1.5368852459016393,428818,-44.57732289204276,,,,
EQU,Equites Property Fund Ltd ZAR,,,,,,1778,ZAC,-0.39215686274509803,-1.400560224089636,1075650,83.31370647652192,,,,
WBC,We Buy Cars Holdings Ltd.,,,,,,3507,ZAC,-3.067993366500829,0,753291,-2.782595902185191,,,,
FTB,Fairvest Limited Class B,,,,,,673,ZAC,-0.7374631268436578,-0.14749262536873156,600482,-42.65421988778799,,,,
FTA,Fairvest Limited Class A,,,,,,1810,ZAC,0,0,10124,1734.0579710144925,1810,ZAC,0,544
MSP,MAS P.L.C.,,,,,,2052,ZAC,-1.0607521697203472,2.1697203471552555,6702055,2338.254672191683,,,,
JSE,JSE Limited,,,,,,15523,ZAC,-1.6909436352121596,-0.8233058898036731,56214,-12.535980457749218,,,,
SSU,Southern Sun Limited,,,,,,1017,ZAC,-0.7804878048780488,2.6341463414634148,306324,-10.879785872221575,,,,
HCI,Hosken Consolidated Investments Limited,,,,,,16349,ZAC,-1.065052950075643,0.8956127080181543,47643,165.67222439078793,,,,
ISO,"ASP Isotopes, Inc.",,,,,,9701,ZAC,-4.79882237487733,-1.8645731108930326,3483,-85.01032880013771,,,,
SPP,Spar Group Limited,,,,,,6130,ZAC,-0.6643979906011992,0,406408,-17.36786030888847,,,,
ATT,Attacq Limited,,,,,,1649,ZAC,-0.960960960960961,-1.4414414414414414,260078,17.269521774026277,,,,
SUI,Sun International Limited,,,,,,4697,ZAC,-1.941544885177453,2.2964509394572024,106360,-68.65818980124058,,,,
RLO,Reunert Limited,,,,,,6290,ZAC,-11.408450704225352,-5.633802816901409,1051590,235.04318708242664,,,,
WBO,Wilson Bayly Holmes-Ovcon Limited,,,,,,16810,ZAC,-1.129278908363722,-1.3174920597576756,591628,425.2705690161853,,,,
AFE,AECI Ltd,,,,,,11288,ZAC,-1.2682585498119479,-1.172045832240007,100342,-30.88299110740682,,,,
PPC,PPC Limited,,,,,,662,ZAC,-1.7804154302670623,-0.44510385756676557,616150,-43.82411747383124,,,,
SDO,Stadio Holdings Pty Ltd.,,,,,,1181,ZAC,0,0,83584,103.81867394962082,,,,
ITE,Italtile Limited,,,,,,823,ZAC,0.3658536585365854,-3.414634146341464,48543,-57.967061512884456,,,,
SAC,SA Corporate Real Estate Ltd.,,,,,,341,ZAC,-1.1594202898550725,1.1594202898550725,607413,-14.79951523448568,,,,
RBX,Raubex Group Limited,,,,,,5069,ZAC,-2.519230769230769,0,52381,-90.71061218699013,,,,
AFH,Alexander Forbes Group Holdings Limited,,,,,,814,ZAC,-0.24509803921568626,0,102568,-8.30353311400372,,,,
SAP,Sappi Limited,,,,,,1454,ZAC,-6.072351421188631,-0.2583979328165375,2241276,121.98873850450906,,,,
