Symbol,Description,"Dividends per share, Annual","Dividends per share, Annual - Currency","Dividends per share, Quarterly","Dividends per share, Quarterly - Currency","Dividend yield %, Trailing 12 months",Dividend yield % (indicated),"Dividend payout ratio %, Trailing 12 months","Dividends per share growth %, Annual YoY",Continuous dividend payout,Continuous dividend growth
BHG,BHP Group Ltd,20.08211744,ZAR,11.548640670833334,ZAR,3.15459555269094,3.038647871903654,62.63972611505728,-25.44178552237608,26,0
ANH,Anheuser-Busch InBev SA/NV,15.758009166666666,ZAR,,,1.1552812858783,1.6732527564466488,26.0965409926411,14.381661063992834,35,4
BTI,British American Tobacco p.l.c.,55.019648000000004,ZAR,27.509824000000002,ZAR,4.8415961305925,4.983602953300478,69.80599948722332,-3.7133208623896747,46,26
CFR,Compagnie Financiere Richemont SA,62.525645756457564,ZAR,,,1.9163206643245,1.9643208793569522,0,7.683483895978085,37,5
GLN,Glencore plc,2.812392266666667,ZAR,1.4122024000000002,ZAR,1.25200537002853,2.123211712053402,544.5869565217391,58.48568383247266,15,1
PRX,Prosus N.V. Class N,3.992066420664207,ZAR,,,0.516528925619835,0.5481386972874553,0,94.23863492573759,6,3
AGL,Anglo American plc,3.849848533333333,ZAR,2.6913463466666667,ZAR,0.422003445729756,0.4262180715909597,-6.196602818937478,-70.6544441529753,9,0
ANG,Anglogold Ashanti PLC,59.41666666666667,ZAR,19.761499148211243,ZAR,3.49270108748898,2.8932677108779994,66.78765880217784,243.32820681826504,10,2
NPN,Naspers Limited Class N,5.08,ZAR,,,0.594847775175644,0.594847775175644,0,110.78838174273858,30,3
GFI,Gold Fields Limited,25.5,ZAR,18.5,ZAR,3.49986275048037,3.499862750480373,36.20862986544589,155,46,2
CPI,Capitec Bank Holdings Limited,79.8,ZAR,53.6,ZAR,1.62545539284338,1.8411829715954842,54.81714224086707,22.58064516129033,25,6
FSR,FirstRand Limited,4.66,ZAR,2.59,ZAR,5.6536312849162,5.653631284916201,64.31440337587065,12.289156626506017,29,5
SBK,Standard Bank Group Limited,16.95,ZAR,8.78,ZAR,5.49949709613575,5.499497096135752,56.142373083458374,12.475116124751153,46,5
VAL,Valterra Platinum Limited,25,ZAR,23,ZAR,1.70573947217598,3.0703310499167595,42.57464186211266,96.07843137254902,9,1
MTN,MTN Group Limited,5,ZAR,5,ZAR,2.37710373680707,2.3771037368070744,44.928877586780125,44.927536231884055,5,2
VOD,Vodacom Group Limited,7.35,ZAR,4.05,ZAR,4.25572763343146,4.703698963266351,71.56697597881228,18.548387096774185,17,2
INL,Investec Limited,8.63929,ZAR,3.96,ZAR,6.67323879578373,6.673238795783727,50.372847812163876,8.533793969849256,30,5
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,8.63929,ZAR,3.96,ZAR,6.67323879578373,9.025380067567568,50.372847812163876,8.533793969849256,30,5
S32,South32 Ltd.,1.094753275,ZAR,0.6133250791666667,ZAR,2.24153153153153,2.054161915621437,0,73.79110812565868,10,1
IMP,Impala Platinum Holdings Limited,1.65,ZAR,4.1,ZAR,2.20146253685057,2.2014625368505687,62.819560372328795,,1,0
ABG,Absa Group Limited,16.35,ZAR,8.5,ZAR,6.9940539846858,6.994053984685802,61.02317387685636,11.986301369863025,5,4
HAR,Harmony Gold Mining Co. Ltd.,3.82,ZAR,5.3,ZAR,2.39778773452814,2.3977877345281433,26.237470171635184,58.506224066390025,5,3
DSY,Discovery Limited,2.88,ZAR,1.11,ZAR,1.1739473981262,1.1739473981261994,19.360243244081783,32.718894009216584,3,2
SLM,Sanlam Limited,4.85,ZAR,4.85,ZAR,5.58112773302647,5.581127733026467,63.543222492990594,8.988764044943807,27,5
SHP,Shoprite Holdings Limited,7.81,ZAR,3.07,ZAR,2.74764756201882,2.747647562018819,57.31947577306341,9.691011235955049,30,6
SSW,Sibanye Stillwater Limited,1.31,ZAR,1.31,ZAR,2.42054693274206,2.420546932742055,-71.71009415371141,,1,0
NPH,Northam Platinum Holdings Limited,2.15,ZAR,7,ZAR,2.4853639677455,2.485363967745499,38.694698826260804,26.47058823529412,3,1
BID,Bid Corporation Limited,11.6,ZAR,6.15,ZAR,2.92496208382484,2.9249620838248394,46.36732077026996,6.422018348623847,10,5
SOLBE1,BEE - Sasol Limited,0,ZAR,0,ZAR,0,,0,-100,0,0
SOL,Sasol Limited,0,ZAR,0,ZAR,0,,0,-100,0,0
NED,Nedbank Group,21.32,ZAR,11.04,ZAR,8.23993197804746,8.23993197804746,127.42203468843758,2.74698795180723,5,4
INPPR,Investec PLC Pref. (Rand),8.697370848708488,ZAR,4.091043478260869,ZAR,6.14754098360656,12.001724137931035,50.464271295922494,4.849319118929582,23,5
INP,Investec plc,8.697370848708488,ZAR,4.091043478260869,ZAR,6.14754098360656,6.524801660858605,50.464271295922494,4.849319118929582,23,5
OUT,OUTsurance Group Limited,2.376,ZAR,1.207,ZAR,3.82065448363791,4.249893752656184,83.12785106645296,36.23853211009174,15,4
REM,Remgro Limited,3.44,ZAR,1.73,ZAR,2.23793323410589,2.2379332341058897,48.62948032296443,30.303030303030294,15,4
RNI,Reinet Investments S.C.A.,7.62755,ZAR,,,1.33146263550195,1.3314626355019463,0,10.613135722261708,12,7
KIO,Kumba Iron Ore Limited,32.03,ZAR,15.43,ZAR,9.79570615939813,9.795706159398128,70.28716134666954,-17.17093354021205,9,0
NRP,NEPI Rockcastle N.V,11.092788,ZAR,,,7.86666761222608,0,78.31290461499361,3.4859565016693503,9,5
N91,Ninety One Plc,2.907066420664207,ZAR,,,5.80235720761559,6.109521863506335,70.0218818380744,-1.7015738564261889,5,0
NY1,Ninety One Ltd.,2.87,ZAR,,,6.39162035057717,6.3916203505771705,69.97625451453821,-0.6920415224913501,5,0
PPH,Pepkor Holdings Ltd.,0.529549,ZAR,0.529549,ZAR,2.40049410698096,2.4004941069809616,34.61104575163399,9.173655608058532,5,2
