Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY"
BHG,BHP Group Ltd,2026-H1,2025-12-31,930834812319.8738,ZAR,-2.628875926572403,380984867017.63525,ZAR,380984867017.63525,ZAR,176411357511.81577,ZAR,481239338183.0417,ZAR,34.683655,ZAR,-13.276996753056435
ANH,Anheuser-Busch InBev SA/NV,2025-H2,2025-12-31,1028257736537.147,ZAR,-5.444742266128758,575145126854.9346,ZAR,260758218917.49188,ZAR,119109561098.96577,ZAR,358563061891.63995,ZAR,59.01521246666666,ZAR,13.24407422969328
BTI,British American Tobacco p.l.c.,2025-H2,2025-12-31,575029866666.6666,ZAR,-6.537356766385267,359006346666.6667,ZAR,231201973333.33334,ZAR,172374240000,ZAR,288390613333.3333,ZAR,78.386832,ZAR,144.64536760022938
CFR,Compagnie Financiere Richemont SA,2025-H1,2025-09-30,449694468327.3653,ZAR,12.205473669191031,296005368755.26746,ZAR,95931509519.27692,ZAR,84173206740.3002,ZAR,128599494430.69565,ZAR,142.88900086956522,ZAR,226.95929230800925
GLN,Glencore plc,2025-H2,2025-12-31,4211907342478.3184,ZAR,-2.058022965277782,86389924295.99753,ZAR,41515946819.072716,ZAR,5727283512.140664,ZAR,169181929699.2,ZAR,0.47376533333333337,ZAR,
PRX,Prosus N.V. Class N,2025-H1,2025-09-30,126008249040.25786,ZAR,20.48091966444754,53188535155.980156,ZAR,4365462884.989813,ZAR,249652520057.99185,ZAR,7981817857.613913,ZAR,107.68505822608695,ZAR,91.40932734065159
AGL,Anglo American plc,2025-H2,2025-12-31,315666295901.58295,ZAR,-38.04673783909919,123458626071.48691,ZAR,63500071740.880684,ZAR,-70545030304.53766,ZAR,102676829139.2,ZAR,-62.12837333333333,ZAR,-16.88653215790171
ANG,Anglogold Ashanti PLC,2026-Q1,2026-03-31,190221465077.87906,ZAR,126.6715843117525,106592844975.09438,ZAR,92333901193.13168,ZAR,59182282794.27462,ZAR,,,116.12606473594549,ZAR,
NPN,Naspers Limited Class N,2025-H1,2025-09-30,141959869890.513,ZAR,11.466393342365453,58822035302.23309,ZAR,3614303253.88097,ZAR,103336660959.987,ZAR,8018168560,ZAR,125.6284,ZAR,85.42800422137105
GFI,Gold Fields Limited,2025-H2,2025-12-31,155585568365.188,ZAR,63.76856547609634,84201311718.8474,ZAR,75350488518.5016,ZAR,63028724288.3227,ZAR,92245265010,ZAR,69.6619,ZAR,177.8418586100309
CPI,Capitec Bank Holdings Limited,2025-H2,2026-02-28,76223806000,ZAR,18.818535090184408,,,22206286000,ZAR,16833389000,ZAR,,,145.4023,ZAR,22.47498315363881
FSR,FirstRand Limited,2026-H1,2025-12-31,260207000000,ZAR,2.349812966845374,,,58022000000,ZAR,45668000000,ZAR,,,7.8557,ZAR,10.673278764739862
SBK,Standard Bank Group Limited,2025-H2,2025-12-31,243924000000,ZAR,15.05143552518006,,,80676000000,ZAR,49100000000,ZAR,,,29.876,ZAR,14.123749933151514
VAL,Valterra Platinum Limited,2025-H2,2025-12-31,116330000000,ZAR,6.737500802848046,28558000000,ZAR,26156000000,ZAR,15420000000,ZAR,34456000000,ZAR,58.4351,ZAR,118.21566474722351
MTN,MTN Group Limited,2025-H2,2025-12-31,226707000000,ZAR,20.58818836070021,107930000000,ZAR,77236000000,ZAR,20262000000,ZAR,116260000000,ZAR,11.0117,ZAR,
VOD,Vodacom Group Limited,2025-H2,2026-03-31,166122000000,ZAR,10.175820240219128,66493000000,ZAR,38135000000,ZAR,20647000000,ZAR,62420000000,ZAR,10.1441,ZAR,20.076941287878782
