Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Total assets, Quarterly","Total assets, Quarterly - Currency","Total current assets, Quarterly","Total current assets, Quarterly - Currency","Cash and short-term investments, Quarterly","Cash and short-term investments, Quarterly - Currency","Total liabilities, Quarterly","Total liabilities, Quarterly - Currency","Total debt, Quarterly","Total debt, Quarterly - Currency","Net debt, Quarterly","Net debt, Quarterly - Currency","Total equity, Quarterly","Total equity, Quarterly - Currency","Current ratio, Quarterly","Quick ratio, Quarterly","Debt to equity ratio, Quarterly","Cash to debt ratio, Quarterly"
BHG,BHP Group Ltd,2026-H1,2025-12-31,1934693134396.1814,ZAR,432392542052.7544,ZAR,230388112020.16315,ZAR,1009721970212.4392,ZAR,467296799632.0668,ZAR,236908687611.90356,ZAR,924971164183.7399,ZAR,1.64873457967697,1.27883759379371,0.555895014581308,0.4930230898254872
ANH,Anheuser-Busch InBev SA/NV,2025-H2,2025-12-31,3682388115327.23,ZAR,412837756542.9199,ZAR,199076836535.53296,ZAR,2053371563448.7217,ZAR,1217178846423.3425,ZAR,1018102009887.8096,ZAR,1629016551878.5083,ZAR,0.718462654097172,0.570326323422771,0.8366308843241249,0.16355594506141521
BTI,British American Tobacco p.l.c.,2025-H2,2025-12-31,2453924800000,ZAR,284798080000,ZAR,86288160000,ZAR,1372909066666.6667,ZAR,787438400000,ZAR,701150240000,ZAR,1081015733333.3334,ZAR,0.873313136876893,0.571605618286973,0.7317531193923971,0.10958083832335329
CFR,Compagnie Financiere Richemont SA,2025-H1,2025-09-30,845979797432.6412,ZAR,580221744618.5217,ZAR,340265840875.5326,ZAR,391686421184.21735,ZAR,302379140973.61957,ZAR,-37886699901.91304,ZAR,454293376248.4239,ZAR,2.82012104375434,1.86635578926481,0.6676131242112849,1.1252953486802133
GLN,Glencore plc,2025-H2,2025-12-31,2373771641698.581,ZAR,1118952405734.6062,ZAR,49161790763.66424,ZAR,1812776347843.3264,ZAR,692538557426.6132,ZAR,643376766662.9484,ZAR,560995293855.2455,ZAR,1.06245046758599,0.541258519575209,1.06757591353577,0.07098780311430358
PRX,Prosus N.V. Class N,2025-H1,2025-09-30,1382492515238.3938,ZAR,448707824610.65985,ZAR,385661205553.6951,ZAR,419841851918.4627,ZAR,308581069086.806,ZAR,-77080136466.89017,ZAR,962650663319.9312,ZAR,3.66142290249433,3.62046485260771,0.321040078060063,1.249788934541561
AGL,Anglo American plc,2025-H2,2025-12-31,934725063506.1542,ZAR,225710211516.71127,ZAR,107471514070.30434,ZAR,532132565085.2882,ZAR,258429094334.01428,ZAR,150957580263.7101,ZAR,402592498420.8661,ZAR,1.97675438596491,1.53625730994152,0.861251738525733,0.41586460822944193
ANG,Anglogold Ashanti PLC,2026-Q1,2026-03-31,267546848385.1193,ZAR,81618398638.2109,ZAR,54139693356.75946,ZAR,90749574106.81483,ZAR,38943781942.590294,ZAR,-15195911414.169132,ZAR,176797274278.30325,ZAR,2.70677966101695,2.11129943502824,0.267838312829526,1.390201224846896
NPN,Naspers Limited Class N,2025-H1,2025-09-30,1383892035000,ZAR,450652552500,ZAR,385472607500,ZAR,423566127500,ZAR,313460672500,ZAR,-72011934999.9999,ZAR,960325907500,ZAR,3.71511875977813,3.66249466647703,0.748373012604004,1.229731961032528
GFI,Gold Fields Limited,2025-H2,2025-12-31,252281564000,ZAR,49227813000,ZAR,29481344000,ZAR,108579896000,ZAR,53375284000,ZAR,23893940000,ZAR,143701668000,ZAR,1.74769104064945,1.28731101829519,0.381993691151009,0.5523407425804048
CPI,Capitec Bank Holdings Limited,2025-H2,2026-02-28,263283842000,ZAR,67273643000,ZAR,,,203770962000,ZAR,3639187000,ZAR,-17447553000,ZAR,59512880000,ZAR,0.519842428350997,,0.0611845164287537,
