Symbol,Description,"Recent fiscal period, Current","Fiscal period end date, Current","Cash flow from operating activities, Trailing 12 months","Cash flow from operating activities, Trailing 12 months - Currency","Cash flow from investing activities, Trailing 12 months","Cash flow from investing activities, Trailing 12 months - Currency","Cash flow from financing activities, Trailing 12 months","Cash flow from financing activities, Trailing 12 months - Currency","Free cash flow, Trailing 12 months","Free cash flow, Trailing 12 months - Currency","Capital expenditures, Trailing 12 months","Capital expenditures, Trailing 12 months - Currency"
BHG,BHP Group Ltd,2026-H1,2025-12-31,346810101232.12354,ZAR,-248393360605.37723,ZAR,-40620819036.93084,ZAR,180234558255.91666,ZAR,173445113615.7195,ZAR
ANH,Anheuser-Busch InBev SA/NV,2025-H2,2025-12-31,249806165113.3624,ZAR,-63093554704.10046,ZAR,-186762964403.43887,ZAR,188441430883.18832,ZAR,61364734237.34819,ZAR
BTI,British American Tobacco p.l.c.,2025-H2,2025-12-31,110313226666.66667,ZAR,26180586666.666668,ZAR,-159688106666.66666,ZAR,97941440000,ZAR,15807146666.666666,ZAR
CFR,Compagnie Financiere Richemont SA,2025-H1,2025-09-30,102928234421.15761,ZAR,-46027886096.20179,ZAR,-56759531663.82267,ZAR,80649530355.13043,ZAR,24365989336.566742,ZAR
GLN,Glencore plc,2025-H2,2025-12-31,105952813772.28363,ZAR,-81254523744.34042,ZAR,-16431992007.728754,ZAR,6488960118.933333,ZAR,99463853663.1092,ZAR
PRX,Prosus N.V. Class N,2025-H1,2025-09-30,36317386850.890274,ZAR,291257054303.21216,ZAR,-177013664311.63773,ZAR,34756937298.69913,ZAR,1560449542.9332833,ZAR
AGL,Anglo American plc,2025-H2,2025-12-31,84473852790.68079,ZAR,-37441467503.293106,ZAR,-78689120910.41394,ZAR,28470941178.666668,ZAR,56690372426.6162,ZAR
ANG,Anglogold Ashanti PLC,2026-Q1,2026-03-31,97920084396.5012,ZAR,-25325097650.49472,ZAR,-43827363717.11328,ZAR,68164822998.296425,ZAR,29755261455.71942,ZAR
NPN,Naspers Limited Class N,2025-H1,2025-09-30,35205511719.8334,ZAR,287368997374.665,ZAR,-170459803175.902,ZAR,33224911950,ZAR,1980599774.77738,ZAR
GFI,Gold Fields Limited,2025-H2,2025-12-31,78791225837.96149,ZAR,-48062630383.678,ZAR,-16251418010.997,ZAR,54075237990,ZAR,24715987849.7018,ZAR
CPI,Capitec Bank Holdings Limited,2025-H2,2026-02-28,34954688000,ZAR,-35891727000,ZAR,6113641000,ZAR,33901731000,ZAR,1136056000,ZAR
FSR,FirstRand Limited,2026-H1,2025-12-31,79437000000,ZAR,-197572000000,ZAR,126973000000,ZAR,70813000000,ZAR,9176000000,ZAR
SBK,Standard Bank Group Limited,2025-H2,2025-12-31,73014000000,ZAR,-297380000000,ZAR,238904000000,ZAR,68282000000,ZAR,5469000000,ZAR
VAL,Valterra Platinum Limited,2025-H2,2025-12-31,29502000000,ZAR,-16861000000,ZAR,-19905000000,ZAR,12183000000,ZAR,17319000000,ZAR
MTN,MTN Group Limited,2025-H2,2025-12-31,77944000000,ZAR,-42048000000,ZAR,-23720000000,ZAR,45074000000,ZAR,42295000000,ZAR
VOD,Vodacom Group Limited,2025-H2,2026-03-31,53510000000,ZAR,-35756000000,ZAR,-9788000000,ZAR,30264000000,ZAR,23246000000,ZAR
INL,Investec Limited,2025-H1,2025-09-30,53828786633.781204,ZAR,-67711332484.7825,ZAR,3614421067.10443,ZAR,,,0,ZAR
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,2025-H1,2025-09-30,53828786633.781204,ZAR,-67711332484.7825,ZAR,3614421067.10443,ZAR,,,0,ZAR
S32,South32 Ltd.,2026-H1,2025-12-31,25013842186.791855,ZAR,-15034423350.604153,ZAR,-8374446039.576945,ZAR,6772782114.583333,ZAR,18420185752.512695,ZAR
IMP,Impala Platinum Holdings Limited,2026-H1,2025-12-31,14975000000,ZAR,-6294000000,ZAR,-2711000000,ZAR,8498000000,ZAR,6477000000,ZAR
ABG,Absa Group Limited,2025-H2,2025-12-31,67986000000,ZAR,-162380000000,ZAR,120912000000,ZAR,64668000000,ZAR,7234000000,ZAR
HAR,Harmony Gold Mining Co. Ltd.,2026-H1,2025-12-31,26312000000,ZAR,-33435000000,ZAR,5219000000,ZAR,11146000000,ZAR,15166000000,ZAR
DSY,Discovery Limited,2026-H1,2025-12-31,7583000000,ZAR,-1828000000,ZAR,-3843000000,ZAR,7264000000,ZAR,1861000000,ZAR
SLM,Sanlam Limited,2025-H2,2025-12-31,13599000000,ZAR,1949000000,ZAR,-13457000000,ZAR,13115000000,ZAR,788000000,ZAR
SHP,Shoprite Holdings Limited,2026-H1,2025-12-31,24717000000,ZAR,-7010000000,ZAR,-8931000000,ZAR,16954000000,ZAR,7763000000,ZAR
SSW,Sibanye Stillwater Limited,2025-H2,2025-12-31,22127000000,ZAR,-22155000000,ZAR,2499000000,ZAR,1820000000,ZAR,20307000000,ZAR
NPH,Northam Platinum Holdings Limited,2026-H1,2025-12-31,9614509000,ZAR,-5091103000,ZAR,815646000,ZAR,4336128000,ZAR,5278381000,ZAR
BID,Bid Corporation Limited,2026-H1,2025-12-31,13252776000,ZAR,-7414006000,ZAR,-4055701000,ZAR,7582849000,ZAR,5881132000,ZAR
SOLBE1,BEE - Sasol Limited,2026-H1,2025-12-31,33929000000,ZAR,-19223000000,ZAR,-16269000000,ZAR,14731000000,ZAR,19281000000,ZAR
SOL,Sasol Limited,2026-H1,2025-12-31,33929000000,ZAR,-19223000000,ZAR,-16269000000,ZAR,14731000000,ZAR,19281000000,ZAR
NED,Nedbank Group,2025-H2,2025-12-31,109331000000,ZAR,-138566000000,ZAR,27807000000,ZAR,106733000000,ZAR,2598000000,ZAR
INP,Investec plc,2025-H1,2025-09-30,54458731780.86956,ZAR,-68446009433.04347,ZAR,3915035099.1304345,ZAR,,,0,ZAR
INPPR,Investec PLC Pref. (Rand),2025-H1,2025-09-30,54458731780.86956,ZAR,-68446009433.04347,ZAR,3915035099.1304345,ZAR,,,0,ZAR
OUT,OUTsurance Group Limited,2026-H1,2025-12-31,10003000000,ZAR,-4950000000,ZAR,-5343000000,ZAR,9697000000,ZAR,306000000,ZAR
REM,Remgro Limited,2026-H1,2025-12-31,9737000000,ZAR,-3432000000,ZAR,-2886000000,ZAR,7669000000,ZAR,2068000000,ZAR
RNI,Reinet Investments S.C.A.,2025-H1,2025-09-30,1347066865.01751,ZAR,0,ZAR,-1347066865.01751,ZAR,1347066870,ZAR,0,ZAR
KIO,Kumba Iron Ore Limited,2025-H2,2025-12-31,27101000000,ZAR,-9890000000,ZAR,-17950000000,ZAR,17070000000,ZAR,10031000000,ZAR
NRP,NEPI Rockcastle N.V,2025-H2,2025-12-31,9191867904.75216,ZAR,-4067352249.4998903,ZAR,-7850446041.29828,ZAR,8059434580,ZAR,1132433326.74934,ZAR
N91,Ninety One Plc,2025-H1,2025-09-30,5012112695.652174,ZAR,-158966260.86956522,ZAR,-3831554434.7826085,ZAR,4913927652.173913,ZAR,98185043.47826086,ZAR
NY1,Ninety One Ltd.,2025-H1,2025-09-30,4863754231.66051,ZAR,-149731235.883357,ZAR,-3857392039.14498,ZAR,4766026710,ZAR,97727522.6746982,ZAR
PPH,Pepkor Holdings Ltd.,2025-H2,2025-09-30,6253000000,ZAR,-2909000000,ZAR,-3075000000,ZAR,3849000000,ZAR,2825000000,ZAR
BVT,Bidvest Group Limited,2026-H1,2025-12-31,11207989000,ZAR,-9573079000,ZAR,-1678071000,ZAR,8117039000,ZAR,3190628000,ZAR
MNP,Mondi plc,2025-H2,2025-12-31,18381662619.24818,ZAR,-23681056842.4571,ZAR,5886043030.206081,ZAR,4243426277.3333335,ZAR,14470670572.599655,ZAR
PAN,Pan African Resources PLC,2026-H1,2025-12-31,6597279286.88044,ZAR,-2231016338.3230815,ZAR,-3297055960.4302,ZAR,4414147053.866667,ZAR,2196147562.7131233,ZAR
APN,Aspen Pharmacare Holdings Limited,2026-H1,2025-12-31,6931000000,ZAR,-4088000000,ZAR,-2499000000,ZAR,4424000000,ZAR,3997000000,ZAR
OMU,Old Mutual Ltd.,2025-H2,2025-12-31,-3772000000,ZAR,993000000,ZAR,-7646000000,ZAR,-4785000000,ZAR,2057000000,ZAR
CLS,Clicks Group Limited,2026-H1,2026-02-28,5306763000,ZAR,-1092911000,ZAR,-4700065000,ZAR,4233630000,ZAR,1073133000,ZAR
GRT,Growthpoint Properties Limited,2026-H1,2025-12-31,5857000000,ZAR,-287000000,ZAR,-5393000000,ZAR,5813000000,ZAR,46000000,ZAR
SHC,Shaftesbury Capital PLC,2025-H2,2025-12-31,2613568000,ZAR,10395893333.333334,ZAR,-7679040000,ZAR,2613568000,ZAR,0,ZAR
QLT,Quilter Plc,2025-H2,2025-12-31,138469706666.66666,ZAR,-131531626666.66667,ZAR,-2380053333.3333335,ZAR,138379893333.33334,ZAR,89813333.33333333,ZAR
