Symbol,Description,"Revenue per share, Trailing 12 months","Revenue per share, Trailing 12 months - Currency","Basic earnings per share, Trailing 12 months","Basic earnings per share, Trailing 12 months - Currency","Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Operating cash flow per share, Trailing 12 months","Operating cash flow per share, Trailing 12 months - Currency","Free cash flow per share, Trailing 12 months","Free cash flow per share, Trailing 12 months - Currency","EBIT per share, Trailing 12 months","EBIT per share, Trailing 12 months - Currency","EBITDA per share, Trailing 12 months","EBITDA per share, Trailing 12 months - Currency","Book value per share, Quarterly","Book value per share, Quarterly - Currency","Total debt per share, Quarterly","Total debt per share, Quarterly - Currency","Cash per share, Quarterly","Cash per share, Quarterly - Currency"
BHG,BHP Group Ltd,182.9111440990121,ZAR,34.7570525,ZAR,34.683655,ZAR,68.14896860525118,ZAR,35.41649798701447,ZAR,74.86438730374337,ZAR,94.56461744606833,ZAR,165.5119185416667,ZAR,,,,
ANH,Anheuser-Busch InBev SA/NV,512.0965652785,ZAR,60.38351661666666,ZAR,59.01521246666666,ZAR,124.40935243605128,ZAR,93.84826982817476,ZAR,129.8637331003845,ZAR,178.57284794065563,ZAR,745.7931003233332,ZAR,,,,
BTI,British American Tobacco p.l.c.,262.5254019454027,ZAR,78.817936,ZAR,78.386832,ZAR,50.36264348917485,ZAR,44.714400753059344,ZAR,105.55345817383129,ZAR,131.66248584876072,ZAR,495.13708959999997,ZAR,,,,
CFR,Compagnie Financiere Richemont SA,763.3584592214659,ZAR,143.20342173913045,ZAR,142.88900086956522,ZAR,174.72115841310088,ZAR,136.90295426095813,ZAR,162.8441852724495,ZAR,218.29824211627167,ZAR,770.359952347826,ZAR,,,,
GLN,Glencore plc,349.333278519953,ZAR,0.5164266666666667,ZAR,0.47376533333333337,ZAR,8.787668102334687,ZAR,0.5381907834654321,ZAR,3.443309795665051,ZAR,14.031856202557986,ZAR,55.42066453333333,ZAR,,,,
PRX,Prosus N.V. Class N,56.43492833843717,ZAR,107.68505822608695,ZAR,107.68505822608695,ZAR,16.26535675227487,ZAR,15.566482993418663,ZAR,1.9551464978906612,ZAR,3.5747923031688615,ZAR,438.09515074782604,ZAR,,,,
AGL,Anglo American plc,294.6055499601273,ZAR,-62.12837333333333,ZAR,-62.12837333333333,ZAR,78.8378936293167,ZAR,26.571405920506045,ZAR,59.263449387421495,ZAR,95.8263967659918,ZAR,280.042464,ZAR,,,,
ANG,Anglogold Ashanti PLC,376.76010017653323,ZAR,117.33390119250427,ZAR,116.12606473594549,ZAR,193.94436264811756,ZAR,135.00992398959457,ZAR,182.88014892922536,ZAR,,,287.9856899488927,ZAR,77.13358311027763,ZAR,107.2312017167378,ZAR
NPN,Naspers Limited Class N,178.261433817965,ZAR,128.7233,ZAR,125.6284,ZAR,44.2081625061569,ZAR,41.72108953925198,ZAR,4.538542336611352,ZAR,10.068551240587263,ZAR,537.17297,ZAR,,,,
GFI,Gold Fields Limited,173.257664893939,ZAR,70.4252,ZAR,69.6619,ZAR,87.7406815185737,ZAR,60.21734252845859,ZAR,83.9091300482971,ZAR,102.722889925382,ZAR,156.22237,ZAR,,,,
CPI,Capitec Bank Holdings Limited,578.3300669582222,ZAR,145.5749,ZAR,145.4023,ZAR,301.748575007583,ZAR,222.166203597239,ZAR,,,,,513.0953,ZAR,,,,
FSR,FirstRand Limited,27.579383044595893,ZAR,7.8676,ZAR,7.8557,ZAR,14.2239095914505,ZAR,7.69792536533412,ZAR,,,,,39.77965,ZAR,,,,
SBK,Standard Bank Group Limited,213.54973204381608,ZAR,30.1911,ZAR,29.876,ZAR,44.5924879037436,ZAR,22.7726202710013,ZAR,,,,,162.7704,ZAR,,,,
VAL,Valterra Platinum Limited,440.814779860846,ZAR,58.7204,ZAR,58.4351,ZAR,111.79332618804,ZAR,46.16561904104437,ZAR,99.11416987913951,ZAR,130.56575307216818,ZAR,375.32341,ZAR,,,,
MTN,MTN Group Limited,122.68999805662,ZAR,11.1287,ZAR,11.0117,ZAR,42.1819758919008,ZAR,24.39328724919861,ZAR,41.79881825396246,ZAR,62.91794772134336,ZAR,79.10485,ZAR,,,,
VOD,Vodacom Group Limited,,,10.2701,ZAR,10.1441,ZAR,,,15.223340040241448,ZAR,19.182595573440643,ZAR,31.398390342052313,ZAR,,,,,,
INL,Investec Limited,59.57118927422163,ZAR,17.5504,ZAR,17.5504,ZAR,63.1246513810728,ZAR,,,,,,,140.85942,ZAR,,,,
INPR,Investec Limited Non-Red.Non-Cum.Non-Ptg.Prf.Shs,59.57118927422163,ZAR,17.5504,ZAR,17.5504,ZAR,63.1246513810728,ZAR,,,,,,,140.85942,ZAR,,,,
S32,South32 Ltd.,20.940016051069474,ZAR,1.1009625,ZAR,1.0965141666666667,ZAR,5.55739662003818,ZAR,1.5047283080611715,ZAR,-0.7065519292934904,ZAR,0.9961529325797971,ZAR,34.439107875000005,ZAR,,,,
IMP,Impala Platinum Holdings Limited,115.502222222222,ZAR,9.1532,ZAR,9.1181,ZAR,16.6388888888889,ZAR,9.442222222222222,ZAR,14.944444444444445,ZAR,24.67,ZAR,108.04645,ZAR,,,,
ABG,Absa Group Limited,156.94453941551447,ZAR,26.7931,ZAR,26.5147,ZAR,80.8201016247532,ZAR,59.9701654261749,ZAR,,,,,208.03011,ZAR,,,,
HAR,Harmony Gold Mining Co. Ltd.,140.395569620253,ZAR,26.1077,ZAR,25.7334,ZAR,41.6329113924051,ZAR,17.63607594936709,ZAR,54.765822784810126,ZAR,63.98892405063291,ZAR,83.03632,ZAR,,,,
DSY,Discovery Limited,130.868377984264,ZAR,16.1155,ZAR,16.0353,ZAR,11.2718640419659,ZAR,10.797681709196908,ZAR,,,,,108.57376,ZAR,,,,
SLM,Sanlam Limited,136.691680731042,ZAR,7.6326,ZAR,7.5403,ZAR,6.44014359253267,ZAR,6.210933393342594,ZAR,,,,,48.64861,ZAR,,,,
SHP,Shoprite Holdings Limited,481.529748807537,ZAR,14.0092,ZAR,13.9691,ZAR,45.6255445456828,ZAR,31.29568645982545,ZAR,27.504171773705274,ZAR,43.83869633917628,ZAR,56.77919,ZAR,,,,
SSW,Sibanye Stillwater Limited,45.8130826791947,ZAR,-1.8268,ZAR,-1.8268,ZAR,7.81716172060227,ZAR,0.6429807172909173,ZAR,8.879846334674289,ZAR,12.536710842739282,ZAR,13.96399,ZAR,,,,
NPH,Northam Platinum Holdings Limited,103.194295901017,ZAR,23.259,ZAR,22.9372,ZAR,24.0605730170815,ZAR,10.851279493878632,ZAR,19.69494385167924,ZAR,23.91649500224866,ZAR,99.7006,ZAR,,,,
BID,Bid Corporation Limited,724.500917758175,ZAR,26.2038,ZAR,26.1264,ZAR,39.3619531319612,ZAR,22.5217529478155,ZAR,38.85579019275892,ZAR,50.161546229469245,ZAR,138.82483,ZAR,,,,
