Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
BHG,BHP Group Ltd,70265,ZAC,-3.838784726974134,443688,1.29567131285103,3775377415244.6006,ZAR,20.258822203138624,34.683655,ZAR,-13.276996753056435,3.15459555269094,Non-energy minerals,Neutral
ANH,Anheuser-Busch InBev SA/NV,133707,ZAC,-0.12026772641706757,97942,0.26579838434573383,2675174742319.765,ZAR,22.65636170936794,59.01521246666666,ZAR,13.24407422969328,1.1552812858783,Consumer non-durables,Buy
BTI,British American Tobacco p.l.c.,108984,ZAC,-0.16671857538061302,126451,0.32192717909498575,2385331821843.015,ZAR,13.903355604420907,78.386832,ZAR,144.64536760022938,4.8415961305925,Consumer non-durables,Buy
CFR,Compagnie Financiere Richemont SA,328291,ZAC,-2.047715378602075,33143,0.29551594696530653,1943182583122.7266,ZAR,22.975246380207885,142.88900086956522,ZAR,226.95929230800925,1.9163206643245,Consumer durables,Buy
GLN,Glencore plc,12732,ZAC,-3.4210725934916177,813327,0.21079708120140447,1549011667348.4478,ZAR,268.7406423433261,0.47376533333333337,ZAR,,1.25200537002853,Distribution services,Buy
PRX,Prosus N.V. Class N,76368,ZAC,1.4951556955464296,650558,0.44840423335812113,1492547748436.5308,ZAR,7.091791680110703,107.68505822608695,ZAR,91.40932734065159,0.516528925619835,Technology services,Strong buy
AGL,Anglo American plc,84065,ZAC,-6.3154727410511295,582616,0.5262062196661871,974419683549.418,ZAR,,-62.12837333333333,ZAR,-16.88653215790171,0.422003445729756,Non-energy minerals,Buy
ANG,Anglogold Ashanti PLC,158759,ZAC,-4.943837716146956,308263,0.30768274111852456,854827744676.617,ZAR,13.671263239738286,116.12606473594549,ZAR,,3.49270108748898,Non-energy minerals,Buy
NPN,Naspers Limited Class N,86489,ZAC,1.275175644028103,786474,0.460244719007344,653812589535,ZAR,6.884510190370967,125.6284,ZAR,85.42800422137105,0.594847775175644,Technology services,Strong buy
GFI,Gold Fields Limited,68648,ZAC,-5.780949766675817,873745,0.4880739461257125,652114632824,ZAR,9.854454156432713,69.6619,ZAR,177.8418586100309,3.49986275048037,Non-energy minerals,Buy
