symbol,yahoo,status,days,last_close,from,to
4SI,4SI.JO,OK,1249,69.0,2021-05-17,2026-05-15
ACL,ACL.JO,OK,1249,129.0,2021-05-17,2026-05-15
ACS,ACS.JO,OK,1248,1085.0,2021-05-17,2026-05-14
ACT,ACT.JO,OK,1249,120.0,2021-05-17,2026-05-15
ADH,ADH.JO,OK,1249,4357.0,2021-05-17,2026-05-15
ADR,ADR.JO,OK,1249,644.0,2021-05-17,2026-05-15
AEG,AEG.JO,OK,1249,440.0,2021-05-17,2026-05-15
AEL,AEL.JO,OK,1249,2150.0,2021-05-17,2026-05-15
AFE,AFE.JO,OK,1249,11404.0,2021-05-17,2026-05-15
AFH,AFH.JO,OK,1249,781.0,2021-05-17,2026-05-15
AFT,AFT.JO,OK,1249,3180.0,2021-05-17,2026-05-15
AME,AME.JO,OK,1248,4011.0,2021-05-17,2026-05-14
ANI,ANI.JO,OK,1103,480.0,2021-12-10,2026-05-14
AOO,AOO.JO,OK,1248,20.0,2021-05-17,2026-05-14
APF,APF.JO,OK,1249,50.0,2021-05-17,2026-05-15
APH,APH.JO,OK,1249,1700.0,2021-05-17,2026-05-15
ARI,ARI.JO,OK,1249,20500.0,2021-05-17,2026-05-15
ARL,ARL.JO,OK,1249,23655.0,2021-05-17,2026-05-15
ART,ART.JO,OK,1249,3760.0,2021-05-17,2026-05-15
ATT,ATT.JO,OK,1249,1697.0,2021-05-17,2026-05-15
AXX,AXX.JO,OK,161,210.0,2025-09-22,2026-05-15
BAC,BAC.JO,OK,395,500.0,2024-10-14,2026-05-14
BAT,BAT.JO,OK,1249,230.0,2021-05-17,2026-05-15
BCF,BCF.JO,OK,1248,1330.0,2021-05-17,2026-05-14
BEL,BEL.JO,OK,1249,4114.0,2021-05-17,2026-05-15
BIK,BIK.JO,OK,1248,12.0,2021-05-17,2026-05-14
BLU,BLU.JO,OK,1249,842.0,2021-05-17,2026-05-15
BOX,BOX.JO,OK,363,8652.0,2024-11-28,2026-05-15
BRN,BRN.JO,OK,1249,477.0,2021-05-17,2026-05-15
BTN,BTN.JO,OK,1249,960.0,2021-05-17,2026-05-15
BWN,BWN.JO,OK,1249,384.0,2021-05-17,2026-05-15
BYI,BYI.JO,OK,1249,7785.0,2021-05-17,2026-05-15
CAA,CAA.JO,OK,971,1436.0,2022-06-27,2026-05-15
CAT,CAT.JO,OK,1249,1245.0,2021-05-17,2026-05-15
CCC,CCC.JO,OK,469,90.0,2024-06-27,2026-05-14
CCD,CCD.JO,OK,114,2574.0,2025-11-27,2026-05-15
CFR,CFR.JO,OK,767,330500.0,2023-04-19,2026-05-15
CGR,CGR.JO,OK,1249,428.0,2021-05-17,2026-05-15
CHP,CHP.JO,OK,1249,165.0,2021-05-17,2026-05-15
CKS,CKS.JO,OK,1248,1900.0,2021-05-17,2026-05-14
CLI,CLI.JO,OK,1249,1920.0,2021-05-17,2026-05-15
CLS,CLS.JO,OK,1249,24896.0,2021-05-17,2026-05-15
CMH,CMH.JO,OK,1249,3750.0,2021-05-17,2026-05-15
CML,CML.JO,OK,1249,4491.0,2021-05-17,2026-05-15
CPP,CPP.JO,OK,729,1150.0,2023-06-05,2026-05-15
CPR,CPR.JO,OK,758,49.0,2023-04-21,2026-05-15
CSB,CSB.JO,OK,1249,12550.0,2021-05-17,2026-05-15
DIB,DIB.JO,OK,1249,711.0,2021-05-17,2026-05-15
DLT,DLT.JO,OK,1249,34.0,2021-05-17,2026-05-15
DNB,DNB.JO,OK,1249,254.0,2021-05-17,2026-05-15
DRD,DRD.JO,OK,1249,4449.0,2021-05-17,2026-05-15
DTC,DTC.JO,OK,1249,7560.0,2021-05-17,2026-05-15
EMH,EMH.JO,OK,1249,227.0,2021-05-17,2026-05-15
EMI,EMI.JO,OK,1249,1524.0,2021-05-17,2026-05-15
EMN,EMN.JO,OK,1249,210.0,2021-05-17,2026-05-15
ENX,ENX.JO,OK,1248,400.0,2021-05-17,2026-05-14
EPE,EPE.JO,OK,1249,608.0,2021-05-17,2026-05-15
EPS,EPS.JO,OK,1249,457.0,2021-05-17,2026-05-15
EQU,EQU.JO,OK,1249,1814.0,2021-05-17,2026-05-15
EUZ,EUZ.JO,OK,1249,24.0,2021-05-17,2026-05-15
FBR,FBR.JO,OK,1249,4948.0,2021-05-17,2026-05-15
FFB,FFB.JO,OK,1249,2586.0,2021-05-17,2026-05-15
FGL,FGL.JO,OK,1249,114.0,2021-05-17,2026-05-15
FTA,FTA.JO,OK,1071,1810.0,2022-01-28,2026-05-15
FTB,FTB.JO,OK,1073,676.0,2022-01-26,2026-05-15
FTH,FTH.JO,OK,1249,601.0,2021-05-17,2026-05-15
GCT,GCT.JO,OK,235,1514.0,2025-06-09,2026-05-15
GML,GML.JO,OK,1249,82.0,2021-05-17,2026-05-15
GND,GND.JO,OK,1249,2381.0,2021-05-17,2026-05-15
GNDP,GNDP.JO,OK,1249,10051.0,2021-05-17,2026-05-15
GPL,GPL.JO,OK,1249,210.0,2021-05-17,2026-05-15
GRSP,GRSP.JO,OK,443,619.0,2024-08-05,2026-05-15
HCI,HCI.JO,OK,1249,16513.0,2021-05-17,2026-05-15
HDC,HDC.JO,OK,1249,19250.0,2021-05-17,2026-05-15
HLM,HLM.JO,OK,1249,175.0,2021-05-17,2026-05-15
HMN,HMN.JO,OK,1249,7005.0,2021-05-17,2026-05-15
HUG,HUG.JO,OK,1249,149.0,2021-05-17,2026-05-15
HYP,HYP.JO,OK,1249,5626.0,2021-05-17,2026-05-15
INPPR,INPPR.JO,OK,1248,8700.0,2021-05-17,2026-05-14
INPR,INPR.JO,OK,1249,9459.0,2021-05-17,2026-05-15
IOC,IOC.JO,OK,1249,414.0,2021-05-17,2026-05-15
ISA,ISA.JO,OK,1249,210.0,2021-05-17,2026-05-15
ISB,ISB.JO,OK,1248,70.0,2021-05-17,2026-05-14
ISO,ISO.JO,OK,179,9637.0,2025-08-27,2026-05-15
ITE,ITE.JO,OK,1249,797.0,2021-05-17,2026-05-15
IVT,IVT.JO,OK,1249,3650.0,2021-05-17,2026-05-15
JBL,JBL.JO,OK,1249,65.0,2021-05-17,2026-05-15
JSE,JSE.JO,OK,1249,15629.0,2021-05-17,2026-05-15
KAL,KAL.JO,OK,1249,4470.0,2021-05-17,2026-05-15
KAP,KAP.JO,OK,1249,244.0,2021-05-17,2026-05-15
KP2,KP2.JO,OK,1249,73.0,2021-05-17,2026-05-15
KRO,KRO.JO,OK,1249,75435.0,2021-05-17,2026-05-15
KST,KST.JO,OK,1249,2681.0,2021-05-17,2026-05-15
