symbol,status,days,last_close,from,to
SBK,OK,1249,30592.0,2021-05-17,2026-05-15
FSR,OK,1249,8776.0,2021-05-17,2026-05-15
ABG,OK,1249,23018.0,2021-05-17,2026-05-15
NED,OK,1249,25585.0,2021-05-17,2026-05-15
CPI,OK,1249,428500.0,2021-05-17,2026-05-15
INL,OK,1249,13125.0,2021-05-17,2026-05-15
INP,OK,1249,13317.0,2021-05-17,2026-05-15
AGL,OK,1249,84855.0,2021-05-17,2026-05-15
BHG,OK,1070,70413.0,2022-01-31,2026-05-15
ANG,OK,1249,155606.0,2021-05-17,2026-05-15
GFI,OK,1249,67824.0,2021-05-17,2026-05-15
IMP,OK,1249,24246.0,2021-05-17,2026-05-15
AMS,NO DATA,0,,,
SSW,OK,1249,5089.0,2021-05-17,2026-05-15
EXX,OK,1249,21025.0,2021-05-17,2026-05-15
KIO,OK,1249,31541.0,2021-05-17,2026-05-15
HAR,OK,1249,26509.0,2021-05-17,2026-05-15
NHM,NO DATA,0,,,
RBP,NO DATA,0,,,
MTN,OK,1249,20810.0,2021-05-17,2026-05-15
VOD,OK,1249,15395.0,2021-05-17,2026-05-15
NPN,OK,1249,86842.0,2021-05-17,2026-05-15
PRX,OK,1249,76300.0,2021-05-17,2026-05-15
MCG,NO DATA,0,,,
SHP,OK,1249,29297.0,2021-05-17,2026-05-15
PIK,OK,1249,2250.0,2021-05-17,2026-05-15
WHL,OK,1249,5065.0,2021-05-17,2026-05-15
MRP,OK,1249,15250.0,2021-05-17,2026-05-15
TFG,OK,1249,5807.0,2021-05-17,2026-05-15
TRU,OK,1249,5079.0,2021-05-17,2026-05-15
SPP,OK,1249,6180.0,2021-05-17,2026-05-15
CFR,OK,767,330500.0,2023-04-19,2026-05-15
BTI,OK,1249,108000.0,2021-05-17,2026-05-15
ANH,OK,1249,134394.0,2021-05-17,2026-05-15
AVI,OK,1249,9465.0,2021-05-17,2026-05-15
TBS,OK,1249,28613.0,2021-05-17,2026-05-15
CLH,OK,1249,425.0,2021-05-17,2026-05-15
DCP,OK,1249,3700.0,2021-05-17,2026-05-15
APN,OK,1249,14045.0,2021-05-17,2026-05-15
NTC,OK,1249,1665.0,2021-05-17,2026-05-15
MEI,NO DATA,0,,,
SLM,OK,1249,8560.0,2021-05-17,2026-05-15
DSY,OK,1249,26500.0,2021-05-17,2026-05-15
OMU,OK,1249,1279.0,2021-05-17,2026-05-15
MMI,NO DATA,0,,,
LBH,NO DATA,0,,,
PSG,NO DATA,0,,,
SOL,OK,1249,22472.0,2021-05-17,2026-05-15
BID,OK,1249,41498.0,2021-05-17,2026-05-15
BAW,NO DATA,0,,,
NRP,OK,1249,14176.0,2021-05-17,2026-05-15
GLN,OK,1249,12750.0,2021-05-17,2026-05-15
SNH,NO DATA,0,,,
BVT,OK,1249,23363.0,2021-05-17,2026-05-15
GRT,OK,1249,1645.0,2021-05-17,2026-05-15
RMI,NO DATA,0,,,
