symbol,description,price,price_change_1d,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,perf_1y,perf_5y,performance_10_years,perf_all_time,vol_1w,vol_1m,technical_rating_1d,moving_averages_rating_1d,oscillators_rating_1d,rsi_14,momentum_10_1_day,awesome_oscillator_1d,cci_20_1d,stochastic_k_1d,stochastic_d_1d,candlestick_pattern_1d,relative_strength_index_14_1_day.1,momentum_10_1_day.1,awesome_oscillator_1_day.1,commodity_channel_index_20_1_day.1,stochastic_rsi_331414_1_day_k,stochastic_rsi_331414_1_day_d,candlestick_pattern_1_day.1,candlestick_pattern_1_month,candlestick_pattern_1_week,net_income_annual,volume_1d,relative_volume_1d,pe_ratio,eps_diluted_ttm,eps_growth_ttm,net_income_growth_ttm,ebitda_growth_ttm,net_income_growth_annual,total_assets_growth_annual,total_assets_growth_quarterly,fcf_growth_ttm,gross_profit_growth_ttm,debt_to_assets_annual,ebitda_trailing_12_months,volume_1_day.1,volume_1w,volume_1_month,total_assets_growth_qoq,number_of_employees_annual,revenue_growth_ttm,revenue_growth_5_year_cagr,revenue_growth_quarterly_qoq,revenue_growth_annual_yoy,revenue_growth_annual_yoy.1,earnings_per_share_estimate_annual,dividend_payout_ratio_annual,total_current_liabilities_annual,total_current_liabilities_quarterly,pre-market_price,pre-market_change,pre-market_gap,pre-market_volume,gap_1_day,volume_change_1_day,post-market_price,post-market_change,post-market_volume,dividends_per_share_annual,dividends_per_share_quarterly,dividend_yield_trailing_12_months,dividend_yield_indicated,dividend_payout,dividends_per_share_growth_annual_yoy,continuous_dividend_payout,continuous_dividend_growth,gross_margin_ttm,operating_margin_ttm,pretax_margin_trailing_12_months,net_margin_ttm,fcf_margin_ttm,roa_ttm,roe_ttm,roic_ttm,research_and_development_ratio_trailing_12_months,selling_general_and_admin_expenses_ratio_trailing_12_months,recent_fiscal_period_current,fiscal_period_end_date_current,total_revenue_trailing_12_months,gross_profit_trailing_12_months,operating_income_trailing_12_months,net_income_trailing_12_months,total_assets_quarterly,total_current_assets_quarterly,cash_and_short-term_investments_quarterly,total_liabilities_quarterly,total_debt_quarterly,net_debt_quarterly,total_equity_quarterly,current_ratio,quick_ratio,debt_to_equity,cash_to_debt_ratio,cash_flow_from_operating_activities_trailing_12_months,cash_flow_from_investing_activities_trailing_12_months,cash_flow_from_financing_activities_trailing_12_months,free_cash_flow_trailing_12_months,capital_expenditures_trailing_12_months,revenue_per_share,basic_earnings_per_share_trailing_12_months,operating_cash_flow_per_share_trailing_12_months,fcf_per_share,ebit_per_share_trailing_12_months,ebitda_per_share_trailing_12_months,bvps,total_debt_per_share_quarterly,cash_per_share_quarterly,market_cap,sector,liquidity_value_1d,coverage_score,perf_1m_rank,perf_3m_rank,perf_6m_rank,perf_1y_rank,perf_ytd_rank,revenue_growth_ttm_rank,eps_growth_ttm_rank,roe_ttm_rank,net_margin_ttm_rank,operating_margin_ttm_rank,fcf_margin_ttm_rank,debt_to_equity_rank,vol_1m_rank,momentum_score,fundamental_growth_score,quality_score,risk_score,growth_potential_score_aggressive,growth_potential_score_guardrails
DANGCEM,Dangote Cement PLC,1180.0,0.0,19.300374077444136,45.67901234567901,62.46730001376843,98.65319865319866,93.76026272577997,168.1818181818182,448.8372093023256,610.843373493976,883.3333333333334,1.4041404140414042,0.384294470423721,,,,87.14460655872172,210.0,247.96029411764653,129.80621020293196,97.17126089470894,97.56366633812866,,87.14460655872172,210.0,247.96029411764653,129.80621020293196,55.13454422891237,53.09400887653319,,,,1002847000000.0,2556395.0,0.6886592306014856,17.687468428618324,66.7139,88.74632912538407,88.74625494414927,38.0968062781154,101.29729100427144,-5.661370075577388,-6.366694521356004,409.10114294853656,34.142619190464565,0.183969247410121,2071546000000.0,2556395.0,14292898.0,31753329.0,-0.0948395780838961,21418.0,20.01719596184956,33.017393652667295,4.000618083991712,20.280515563251456,20.280515563251456,78.458533,75.1700095048301,2603694000000.0,2371845000000.0,,,,,0.0,23.076267571525825,,,,45.0,,2.54237288135593,3.8135593220338975,0.0,50.0,18.0,1.0,61.1761395648012,41.2388081179102,36.3488029140079,24.779909522609,18.350130164074805,17.9096390871027,43.9510494873198,32.1425798090645,,19.989969129130166,,,4510077000000.0,2759091000000.0,1859902000000.0,1117593000000.0,6034998000000.0,2110283000000.0,504827000000.0,3170131000000.0,647337000000.0,142510000000.0,2864867000000.0,0.88972213614296,0.479201212558156,0.233960372493644,0.779851916389763,1696147000000.0,545426000000.0,-1963758000000.0,827605000000.0,869181000000.0,269.226181948424,66.7139,101.250417860554,49.40335482330468,111.02566857688636,123.65962273161414,165.16478,38.64237106017192,30.13532712511939,19570541992188.0,Non-energy minerals,3016546100.0,1.0,100.0,50.0,25.0,50.0,50.0,50.0,25.0,50.0,25.0,50.0,0.0,25.0,25.0,55.0,37.5,31.25,25.0,47.6875,44.6875
MTNN,MTN Nigeria Communications Plc,835.0,0.0,2.57985257985258,14.540466392318244,19.251642387889166,75.78947368421052,63.40508806262231,199.92816091954023,416.3883735312307,534.0167046317389,534.0167046317389,0.4305358121167856,0.8755526094926498,,,,55.9852309108454,-35.0,31.92647058823627,20.70308818447476,26.02262837249781,19.78532056861037,,55.9852309108454,-35.0,31.92647058823627,20.70308818447476,16.8824542872169,12.73709751017062,,,,1112846000000.0,4170007.0,0.4789566994466991,13.119070886974884,63.6478,968.4180487477338,968.543292902606,105.89924916826428,,28.74673784146785,30.79798449393986,267.3434979706468,121.12814969839452,0.5392623173656871,3084519000000.0,4170007.0,36205940.0,78376872.0,8.248448363640604,2001.0,54.04348360152316,31.04361703104983,1.791360327836332,54.92087000563652,54.92087000563652,78.469741,37.6871402055833,2248419000000.0,2434027000000.0,,,,,0.0,-27.08420361483388,,,,20.0,,0.0,2.395209580838324,0.0,,1.0,0.0,53.4355039404207,42.0728735957256,36.1454969835058,23.6503921637423,28.531662114370548,25.8627695709827,430.67075332243195,46.5794730692398,,11.259109465267343,,,5643306000000.0,3015529000000.0,2374301000000.0,1334664000000.0,5849193000000.0,1355219000000.0,966394000000.0,4945253000000.0,2759824000000.0,1793430000000.0,903940000000.0,0.556780594463414,0.548793419300608,3.0531052945992,0.3501650829907994,2639965000000.0,-1663454000000.0,-835252000000.0,1610129000000.0,1280398000000.0,269.11330472103,63.6478,125.8924654268,76.7824988078207,113.2237005245589,147.09198855507867,43.1061,131.6082021936099,46.08459704339533,17531293056641.002,Communications,3481955845.0,1.0,66.90647482014388,69.7841726618705,66.18705035971223,71.94244604316546,69.06474820143885,88.03418803418803,98.05825242718447,99.54128440366972,74.35897435897436,85.47008547008546,71.42857142857143,7.4074074074074066,59.71223021582733,68.77697841726619,93.04622023068626,82.69972891532525,33.55981881161737,77.74674973370958,76.16470471256203
BUAFOODS,BUA Foods PLC,967.0,0.0,0.0,21.17794486215539,21.041431968957323,39.63898916967509,21.041431968957323,131.3397129186603,2317.5,2317.5,2317.5,-1.7763568394002505e-15,1.3322676295501878e-15,,,,97.36022068182616,0.0,98.10588235294142,55.55555555555623,100.0,99.99999999999996,,97.36022068182616,0.0,98.10588235294142,55.55555555555623,100.0,100.0,,,,518387980000.0,82311.0,0.2887104400299125,33.28124892446843,29.0554,50.49854709133381,50.49832211049312,15.475041584915433,94.8843037467113,26.6808211044791,36.14823542689194,-10.21859989974777,20.350898420175373,0.282318226779702,592469252000.0,82311.0,492696.0,1699682.0,12.097443060360073,874.0,10.23669460195073,55.87388423122852,2.9155898702516745,16.14718364379547,16.14718364379547,41.165,97.2245853197821,672236392000.0,698406110000.0,,,,,0.0,-20.507025930754743,,,,28.0,,1.34436401240951,2.8955532574974145,0.0,115.38461538461536,5.0,4.0,38.9218545966665,33.172233165668,31.4389163994772,29.7750195138838,19.632399028523835,38.7646701211806,74.1788074740973,74.1247343816469,,5.782098973299198,,,1756496827000.0,683661141000.0,582669223000.0,522997273000.0,1555681330000.0,1159413494000.0,53507426000.0,699918225000.0,385344245000.0,331836819000.0,855761230000.0,1.6600849812153,1.55512336941038,0.450294114165466,0.1388561700201335,370812969000.0,-25970502000.0,-338196862000.0,344842466000.0,25970503000.0,97.5831570555556,29.0554,20.6007205,19.15791477777778,32.37051238888889,32.914958444444444,47.54229,21.408013611111112,2.972634777777778,17406000000000.0,Process industries,79594737.0,1.0,56.25,37.5,31.25,31.25,18.75,46.666666666666664,57.14285714285714,85.71428571428571,93.33333333333333,93.33333333333333,61.53846153846154,21.428571428571427,75.0,35.0,51.9047619047619,83.47985347985347,48.214285714285715,55.16483516483516,59.828296703296694
BUACEMENT,BUA Cement Plc,435.0,0.0,8.478802992518704,33.149678604224064,126.5625,158.92857142857142,143.69747899159665,419.7132616487455,464.9350649350649,1031.3393723968954,1031.3393723968954,0.0,0.1270278543005806,,,,77.42145205003233,55.0,72.95205882352957,79.65496841663342,98.52507374631269,98.42577874085146,,77.42145205003233,55.0,72.95205882352957,79.65496841663342,24.94940861417628,28.25934085906738,,,,356038275000.0,1905500.0,0.9856028025360948,32.64197382638972,13.3264,229.25828927212527,229.2575937874542,71.47643939639329,381.7236641672722,18.19815974810206,25.53038551317408,212.51879147108423,71.73484018110591,0.283803438179165,623043805000.0,1905500.0,6143688.0,17611304.0,7.067918336187389,1559.0,23.59902989671828,41.29349224920284,10.68501707266362,34.56765242360322,34.56765242360322,13.25435,95.1139941219552,697836223000.0,663325434000.0,,,,,0.0,126.02803910148666,,,,10.0,,0.471264367816092,2.2988505747126435,0.0,387.8048780487805,7.0,2.0,52.1664174820159,46.0116150535818,44.8319166739499,36.2890425845529,33.43269270426791,25.2792447389369,68.4320055970737,41.7219023587198,,6.15293173529962,,,1243603217000.0,648743246000.0,572201925000.0,451291701000.0,1987316547000.0,762847418000.0,404047601000.0,1137102940000.0,502008428000.0,97960826999.99992,849277030000.0,1.1500349284059,0.899933173676558,0.591100913208497,0.8048621864969964,534620958000.0,-120284432000.0,-142966318000.0,415770042000.0,120291636000.0,36.7230751544825,13.3264,15.7871299715329,12.277512867955492,16.896879975918043,18.3982191126398,25.07879,14.824095802920086,11.93135416077921,14730994628906.0,Non-energy minerals,828892500.0,1.0,50.0,100.0,100.0,100.0,75.0,75.0,100.0,100.0,75.0,75.0,33.33333333333333,0.0,50.0,85.0,87.5,70.83333333333333,25.0,79.125,74.58333333333333
ARADEL,Aradel Holdings Plc,2009.5,0.0,6.888297872340425,57.11493354182956,103.989442696173,183.54734020036685,195.51470588235293,299.5029821073559,159.9948246862466,159.9948246862466,159.9948246862466,1.1102230246251563e-16,0.3758105445504857,,,,80.57275369469897,20.700000000000045,362.0838235294125,90.68969351134194,95.78610868933444,83.7244502567083,,80.57275369469897,20.700000000000045,362.0838235294125,90.68969351134194,26.545802827835,17.697201885223336,,,,397933670000.0,3260944.0,1.1561890362181635,21.94074307002258,91.5876,54.31517581843608,54.314986568907,-20.62396843709304,54.314986568907,495.3858036755719,495.3858036755719,-60.87291569098478,-12.762689653533664,0.194458906190484,304189224000.0,3260944.0,13341677.0,25534539.0,432.0790119476173,,19.986164843908067,,-7.169955235280878,19.986164843908067,19.986164843908067,215.89,,3594516520000.0,3594516520000.0,,,,,0.0,3.719394937541467,,,,,,1.59243592933566,1.5924359293356556,0.0,,1.0,0.0,38.560853400337,26.8041589680333,38.2549458738384,57.0676836075303,10.366067636809966,6.54060028595192,26.968649337298,16.6478436408766,,11.756694432303668,,,697301248000.0,268885312000.0,186905735000.0,397933670000.0,10418272887000.0,4134866782000.0,1487783180000.0,6940108961000.0,2025925950000.0,538142770000.0,3478163926000.0,1.15032627030464,1.12958649025767,1.30231639733576,0.734371944838359,218276286000.0,-639456337000.0,246332275000.0,72282719000.0,146220794000.0,160.489350186988,91.5876,,16.636434590259984,43.0178205508839,70.01153523483174,358.04106,466.28274390017503,342.424965482538,8730965478026.999,Energy minerals,6552866968.0,1.0,92.80575539568345,93.5251798561151,86.33093525179856,82.73381294964028,92.08633093525181,50.427350427350426,65.0485436893204,59.63302752293578,94.87179487179486,65.8119658119658,47.95918367346938,20.37037037037037,69.7841726618705,89.49640287769785,57.73794705833541,67.06899297004146,45.07727151612043,73.21320122181314,70.33742645393674
WAPCO,Lafarge Africa Plc,339.1,-0.2647058823529344,4.660493827160501,45.536480686695285,83.2972972972973,153.05970149253733,153.05970149253733,330.60317460317464,1546.1165048543687,434.7692421044026,731.8766701009689,1.2586230165615917,2.738849195050894,,,,72.32067341380562,-13.0,63.41147058823543,50.14749262536849,80.21292837914936,83.34874371257011,,72.32067341380562,-13.0,63.41147058823543,50.14749262536849,11.704943794712278,15.172083506442103,,,,273120312000.0,453498.0,0.0562551478804263,16.835605557248552,20.0171,124.54036591248163,124.54060698977923,92.25310771109726,172.72409570651658,21.95988976724541,50.04728586738262,572.04353971883,73.29399999828208,0.0010827372378947,494336392000.0,453498.0,21375939.0,65729075.0,13.625148322542408,1478.0,42.79510022133782,35.8359141989965,17.16583941620856,53.0380470329152,53.0380470329152,24.340213,58.9768692718716,417362631000.0,481646261000.0,,,,,-0.2941176470588235,-2.080547868952487,,,,10.0,,2.94117647058824,2.948982601002654,0.0,733.3333333333334,7.0,1.0,60.3757732355167,39.5719293150385,42.2718795185512,27.9685053230314,36.428133715591,28.1917957463952,47.9367932380802,47.8409561487851,,20.507827921204598,,,1152836336000.0,696033852000.0,456199580000.0,322431092000.0,1372619514000.0,678930141000.0,495084959000.0,580669471000.0,1486668000.0,-493598291000.0,791950043000.0,1.40960326275636,1.17989715277786,0.0018772244703319,333.0164898955248,573062266000.0,-153118586000.0,-83715304000.0,419956762000.0,153105504000.0,71.5700854418568,20.0171,35.576702486175,26.071646425122346,28.32166362176427,30.689263261094197,49.16564,0.0922949359428192,30.735735602809967,5462153687474.0,Non-energy minerals,153781171.8,1.0,75.0,75.0,50.0,75.0,100.0,100.0,75.0,75.0,50.0,25.0,66.66666666666666,100.0,0.0,75.0,87.5,54.166666666666664,50.0,75.625,71.66666666666666
GTCO,Guaranty Trust Holding Company Plc,147.0,-0.3389830508474576,5.755395683453237,16.666666666666668,36.11111111111112,65.91422121896164,62.07276736493936,114.5985401459854,390.0,701.0899182561308,969.0909090909092,1.974972287526276,2.1128016058769594,,,,65.8490120398726,12.25,17.598088235293886,91.75130047064702,68.00894854586132,74.6234639648835,,65.8490120398726,12.25,17.598088235293886,91.75130047064702,54.21272462324466,67.68716258345809,,,,853548304000.0,5622372.0,0.134648190574503,6.495998729475291,22.6678,-15.7008073723396,1.0923436755235931,,-15.172785458626528,19.85877909396703,17.85425197060282,148.24183176617004,,0.0246033620660691,,5622372.0,110633428.0,368509509.0,5.452352678439527,,25.893828579119045,39.94607629002365,17.64085067282555,32.03698584086092,32.03698584086092,30.325,50.1783375869568,11381950638000.0,11798527498000.0,147.5,0.0,0.0,2150486.0,0.0,-67.98008430761743,,,,12.76,,5.44406779661017,8.650847457627119,0.0,58.90410958904111,18.0,4.0,,60.71168543190086,54.9478631033309,44.75494251341583,46.1373809414739,4.70093604670056,25.0441165140497,23.8174010226102,,,,,2245248902000.0,,1104853526000.0,814466864000.0,18745554339000.0,9293001653000.0,,15120012209000.0,517958487000.0,-3659906187000.0,3625542130000.0,0.787640801326715,,0.1442484909563759,,1157743888000.0,-862033605000.0,2340598534000.0,1035899039000.0,174150786000.0,49.79002017223968,22.6678,31.6754200452364,20.8419781216151,,,98.24118,14.171141659026496,114.3047437457986,5390046982422.0,Finance,826488684.0,1.0,81.25,81.25,77.08333333333334,66.66666666666666,77.08333333333334,50.0,47.22222222222222,70.0,85.0,87.5,66.66666666666666,62.5,72.91666666666666,76.66666666666667,48.611111111111114,77.29166666666666,67.70833333333333,69.78125,70.79861111111111
ZENITHBANK,Zenith Bank PLC,129.95,-0.1152959262106115,5.650406504065032,12.9018245004344,66.60256410256409,101.3168086754454,106.26984126984124,167.9381443298969,450.22976938874064,749.5404613698328,977.7228168536554,2.4071054022113434,3.555933757259683,,,,59.01908781225974,-0.5500000000000114,10.97794117647058,33.40812764896493,70.95407099627049,76.46718652691509,,59.01908781225974,-0.5500000000000114,10.97794117647058,33.40812764896493,13.0434251452538,18.61372038033561,,,,1039747000000.0,7417045.0,0.1639834143268377,5.124494254414675,25.3586,-21.236065685790344,-4.120029827936993,,0.6813135523878413,4.636740095753065,-1.2205690535193672,,,0.0261646537928483,,7417045.0,155485027.0,421298724.0,1.5789334497861347,,-4.981883632737716,44.09120296368236,36.83864701177008,-2.7780847860993925,-2.7780847860993925,33.5675,39.499930875121,19647026000000.0,19190212000000.0,129.0,-0.845503458877782,-0.845503458877782,4664189.0,-0.845503458877782,-64.73971583180477,,,,10.0,,4.00763358778626,7.686395080707149,0.0,100.0,21.0,6.0,,36.19722991248689,31.4593443274153,34.547377890649415,99.25022159112804,3.23113647086147,21.6915265590127,15.1654935537948,,,,,4047996000000.0,,1091214000000.0,1041477000000.0,32034611000000.0,15192503000000.0,,26868358000000.0,545746000000.0,-6204481000000.0,5166253000000.0,0.791679789676112,,0.105721845770698,,4124029000000.0,-4518650000000.0,198443000000.0,4017645000000.0,110284000000.0,73.40233747260774,25.3586,100.414633552471,96.0144144144144,,,125.69063,13.2881908935963,164.3590698806915,5343185397936.0,Finance,963844997.7499999,1.0,75.0,91.66666666666666,83.33333333333334,79.16666666666666,89.58333333333334,7.5,38.88888888888889,60.0,70.0,65.0,84.84848484848484,67.5,58.333333333333336,83.75,23.194444444444446,69.96212121212122,62.91666666666667,63.05681818181817,63.66414141414141
FIRSTHOLDCO,First HoldCo Plc,72.4,0.8356545961002904,8.221225710014947,31.876138433515496,50.67637877211241,134.6839546191248,54.37100213219618,193.1174089068826,156.283185840708,156.283185840708,156.283185840708,8.2400230189068,6.247314339417368,,,,59.6028667365787,7.75,12.350441176470582,51.21993218970256,53.77574370709383,62.65001913361945,,59.6028667365787,7.75,12.350441176470582,51.21993218970256,38.48254660591031,43.24172859810966,,,,132684000000.0,12944736.0,0.1408811169011087,21.14856575334463,3.4234,-81.63333190265676,-80.54978051654507,,-80.2200062910052,2.73982441254253,1.348070013053988,,,0.159863615688783,,12944736.0,842609020.0,923766406.0,-1.3651311413718463,10909.0,30.841484897526605,45.388650378379694,23.7943039555718,29.9376694403254,29.9376694403254,17.27,,14675991000000.0,13641523000000.0,,,,,1.8105849582172664,-83.9343949896017,,,,,,0.842696629213483,0.8356545961002786,0.0,,15.0,1.0,,16.011151194333145,9.89815280527204,5.209761225860627,56.15458837784987,0.549506060085294,4.81907330743348,2.46401008450695,,,,,3654298000000.0,,415470000000.0,135187000000.0,26878924000000.0,5648424000000.0,,23407357000000.0,4263281000000.0,-633098000000.0,3471567000000.0,0.41406109860314,,1.25025029751239,,2380721000000.0,-4289869000000.0,841033000000.0,2052056000000.0,315967000000.0,58.37222747109372,3.4234,53.5547082377289,45.5960993386422,,,76.7072,95.90320331128808,110.14484635803302,3191775178631.0,Finance,937198886.4000001,1.0,95.83333333333334,89.58333333333334,89.58333333333334,87.5,70.83333333333334,62.5,13.88888888888889,15.0,20.0,27.500000000000004,75.75757575757575,20.0,25.0,86.66666666666667,38.19444444444444,34.56439393939394,22.5,59.22632575757576,53.23137626262626
NB,Nigerian Breweries PLC,93.0,-1.0638297872340423,16.25,25.84573748308524,12.048192771084338,32.762312633832984,23.58803986710964,75.80340264650283,129.10607518209667,4.625105755056903,36.34896121690617,4.444031113403868,2.2375284816199184,,,,82.34129935481405,13.5,13.507205882353006,171.70273034435922,78.56401437502599,88.67135515483157,,82.34129935481405,13.5,13.507205882353006,171.70273034435922,95.7730797694691,98.59102658982302,,,,99100309000.0,2670413.0,0.1447077163025318,26.078178453255568,3.5662,,,54.59115389017113,,-6.339230671128264,-0.6237767760575279,,43.11472311398249,0.0560080668164182,285449109000.0,2670413.0,93490431.0,163868273.0,6.668449090203621,2282.0,21.19293592580042,34.20636586916803,-1.9059719908179853,35.31660971291366,35.31660971291366,6.519631,0.0,491650625000.0,505971773000.0,,,,,-1.0638297872340423,-78.31230710481267,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,38.5515680951435,13.5601431072929,11.4566587080841,7.38191322849596,14.749489094935692,9.68570908225856,19.6766613073114,19.0819864281855,,24.991424987850635,,,1496802544000.0,577040852000.0,202968567000.0,110492665000.0,1137211247000.0,419934444000.0,132230078000.00002,520831694000.0,56067358000.0,-76162720000.0,616379553000.0,0.829956267145361,0.490170903268946,0.0909623911551135,2.358414641189264,346540789000.0,-124923926000.0,-181727939000.0,220770728000.0,126229294000.0,48.3104038822557,3.5662,11.1848590486265,7.125537752332689,6.5509599021450295,9.213080107926396,19.8941,1.809615249819497,4.267823100093669,2881421361328.0,Consumer non-durables,248348409.0,0.9285714285714286,61.53846153846154,46.15384615384615,38.46153846153847,23.076923076923077,46.15384615384615,40.0,,33.33333333333333,45.45454545454545,54.54545454545454,70.0,80.0,15.384615384615385,43.07692307692308,40.0,50.83333333333333,47.69230769230769,48.756868131868124,49.91712454212454
