symbol,price,sma_50,sma_200,above_sma50,above_sma200,golden_cross,death_cross,rsi_14,macd,macd_signal,macd_histogram,bb_position,mom_1m,mom_3m,mom_6m,mom_12m,volatility_20d,volatility_1y,sharpe_1y,sortino_1y,max_drawdown_1y,avg_volume_20d,volume_ratio,mom_score,trend_score,rsi_score,sharpe_score,dd_score,composite_score,signal
4SI,69.0,69.68,70.225,False,False,False,False,50.0,-0.3781347738660088,-0.43520399245793806,0.05706921859192926,0.48242988791096114,6.153846153846154,-5.47945205479452,-1.4285714285714235,-5.47945205479452,69.63924450047307,45.522823001062505,-0.10462159258437549,-0.18020802384967458,-20.73170731707317,81490.2,0.2709282834009488,0.5,0.3,0.9,0.2,0.5,0.465,HOLD
ABG,23018.0,23838.574921875,21998.684609375,False,True,False,False,44.99146272054639,-350.82038091707363,-355.7799710306861,4.959590113612478,0.3466551086245823,-7.89648332788876,-13.296383138651658,15.129395840139036,35.494709307378926,24.45460960911011,22.938247419471907,1.141602497318917,1.6886635564225754,-16.99545433978038,2530722.2,1.3926625371998553,0.9,0.7,0.9,0.8,0.8,0.8200000000000001,HOLD
ACL,129.0,128.2,126.84,True,True,False,False,43.75,-2.0667430191253118,-1.4065117937167473,-0.6602312254085645,0.44486105318824093,-3.731343283582089,-0.7692307692307665,-5.147058823529416,12.173913043478258,34.86805061094329,67.38949078197044,0.36707054856766347,0.6827468401131581,-36.7816091954023,299808.55,0.8808588013917549,0.7,0.9,0.9,0.5,0.2,0.675,BUY
ACS,1085.0,1155.78,925.3728308105469,False,True,False,False,72.0,-16.41280665108502,-20.519147048749833,4.1063403976648125,0.5972705628776007,-1.3636363636363669,8.391608391608397,44.7010755650066,67.25832860223326,10.644628283979502,142.84526893930837,1.0088048923143833,0.9392958556598561,-36.842104160249114,1049.7,0.0,1.0,0.7,0.4,0.8,0.2,0.6849999999999999,HOLD
ACT,120.0,87.72,131.13,True,False,False,False,74.39024390243902,11.614963037956528,8.318149638279442,3.2968133996770863,0.7444659134777903,48.14814814814814,5.263157894736836,-20.529801324503318,-24.0506329113924,160.52713944043003,100.4868113226599,0.13848212202847984,0.21683880270129055,-60.0,59094.95,1.2223548712707262,0.3,0.3,0.4,0.5,0.2,0.32999999999999996,HOLD
ADH,4357.0,4183.387333984375,3709.8525622558595,True,True,False,False,53.70138017565872,56.21940999907292,62.86745088154511,-6.648040882472188,0.5352286318756915,0.06890215893431417,9.518104976591069,23.834202643680456,40.72798773321074,24.225680819510764,24.15266083395838,1.200422513539356,1.7945192898534095,-8.620163808478692,380586.35,0.9143470332028462,0.9,0.9,0.9,0.8,1.0,0.9,BUY
ADR,644.0,595.62,636.7236950683593,True,True,False,False,43.95604395604395,15.206809976645673,15.448094070824519,-0.24128409417884633,0.5867824531615168,17.30418943533698,-1.3782542113323082,-7.964915475940016,57.25063671233628,125.1516928710254,69.40920403811866,0.8471860391427131,1.4295214405749266,-27.495150116531352,48262.4,0.26011967908765415,1.0,0.9,0.9,0.5,0.5,0.8099999999999999,BUY
AEG,440.0,451.58,495.7,False,False,False,False,54.166666666666664,-1.9744124827193446,-0.2886105406430535,-1.685801942076291,0.28634408155761726,-1.5659955257270708,-14.563106796116509,-2.6548672566371723,-26.174496644295296,35.80132441067457,46.46260954148599,-0.6318032989196944,-0.8300629015982469,-43.37837837837838,43847.3,0.23946742444802757,0.3,0.3,0.9,0.2,0.2,0.36,SELL
AEL,2150.0,2114.62,1986.114942626953,True,True,False,False,45.74468085106383,14.548970994861975,26.02183645110873,-11.472865456246755,0.22349363556343949,-1.82648401826484,2.3809523809523725,16.877694362387217,-6.477602689958339,26.699386077651106,28.91923493553653,-0.3702047196792514,-0.4480641459131402,-29.81814843654349,195348.55,0.8617417431560153,0.5,0.9,0.9,0.2,0.5,0.615,BUY
AFE,11404.0,11213.267265625,10054.827529296876,True,True,False,False,67.01361088871096,84.99746363475242,73.61420023585609,11.383263398896332,0.6881229845911386,3.672727272727272,17.579960582804198,28.742024936120657,12.721717314411919,18.723777277937295,24.02545390293897,0.2256994641881301,0.30176312560619506,-22.03824496404545,210763.85,0.746290220073319,0.7,0.9,0.7,0.5,0.5,0.69,BUY
